#=====================================================
# File created:        Wed-29-Oct-2025-at-10-50-07PM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        0.346825
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2474.6985  0.2596 
   00001    0.6740   -3715.5108  0.2613 
   00002    0.6276   -4485.3806  0.2627 
   00003    0.5752   -5127.0327  0.2734 
   00004    0.5404   -5618.2038  0.2723 
   00005    0.5324   -6003.5536  0.2752 
   00006    0.5316   -6278.7788  0.2883 
   00007    0.5060   -6503.6283  0.2946 
   00008    0.5016   -6685.3821  0.3006 
   00009    0.4728   -6853.9129  0.3060 
   00010    0.4712   -7001.7692  0.3037 
   00011    0.4672   -7129.9680  0.3069 
   00012    0.4608   -7206.7234  0.3039 
   00013    0.4612   -7258.3541  0.3010 
   00014    0.4544   -7364.8646  0.3019 
   00015    0.4816   -7407.1111  0.3001 
   00016    0.4564   -7485.0450  0.3040 
   00017    0.4424   -7555.0859  0.3018 
   00018    0.4288   -7585.3072  0.2986 
   00019    0.4536   -7637.8855  0.2991 
   00020    0.4476   -7625.1916  0.2922 
   00021    0.4412   -7636.1895  0.2939 
   00022    0.4468   -7637.1908  0.3009 
   00023    0.4332   -7660.5643  0.3066 
   00024    0.4388   -7695.0684  0.3077 
   00025    0.4500   -7693.7524  0.3106 
   00026    0.4300   -7743.1295  0.3166 
   00027    0.4440   -7759.0823  0.3256 
   00028    0.4380   -7798.5561  0.3302 
   00029    0.4396   -7816.0988  0.3317 
   00030    0.4472   -7813.8700  0.3291 
   00031    0.4388   -7872.3768  0.3362 
   00032    0.4336   -7866.0032  0.3322 
   00033    0.4264   -7887.9962  0.3276 
   00034    0.4376   -7913.2702  0.3331 
   00035    0.4368   -7893.8227  0.3341 
   00036    0.4404   -7944.2535  0.3359 
   00037    0.4260   -7976.4037  0.3383 
   00038    0.4336   -7964.8741  0.3371 
   00039    0.4368   -7970.3344  0.3462 
   00040    0.4208   -7991.1676  0.3529 
   00041    0.4256   -8019.1555  0.3509 
   00042    0.4248   -8093.4392  0.3500 
   00043    0.4156   -8134.5417  0.3555 
   00044    0.4416   -8089.7128  0.3629 
   00045    0.4000   -8118.7356  0.3614 
   00046    0.4400   -8080.6026  0.3562 
   00047    0.4324   -8090.5680  0.3516 
   00048    0.4244   -8100.1865  0.3518 
   00049    0.4136   -8108.3039  0.3470 
   00050    0.4220   -8068.9500  0.3495 
   00051    0.4476   -8086.8724  0.3572 
   00052    0.4176   -8094.2774  0.3584 
   00053    0.4360   -8177.3365  0.3602 
   00054    0.4216   -8225.8720  0.3557 
   00055    0.4152   -8209.3888  0.3606 
   00056    0.4272   -8220.5207  0.3604 
   00057    0.4292   -8159.3269  0.3620 
   00058    0.4296   -8165.2581  0.3634 
   00059    0.3976   -8117.0527  0.3652 
   00060    0.4336   -8143.1251  0.3767 
   00061    0.4192   -8104.4711  0.3794 
   00062    0.4192   -8106.5210  0.3831 
   00063    0.4224   -8094.9372  0.3837 
   00064    0.4340   -8155.5332  0.3865 
   00065    0.4316   -8162.0634  0.3857 
   00066    0.4356   -8181.0542  0.3890 
   00067    0.4432   -8224.5069  0.3847 
   00068    0.4264   -8186.6605  0.3866 
   00069    0.4280   -8192.9281  0.3843 
   00070    0.4132   -8133.5379  0.3866 
   00071    0.4312   -8159.9838  0.3915 
   00072    0.4248   -8123.8917  0.3951 
   00073    0.4104   -8135.2218  0.3880 
   00074    0.4208   -8119.9714  0.3911 
   00075    0.4216   -8156.4525  0.3934 
   00076    0.4396   -8140.7958  0.3939 
   00077    0.4180   -8148.2144  0.3960 
   00078    0.4244   -8151.2379  0.4014 
   00079    0.4264   -8147.7237  0.4073 
   00080    0.4248   -8150.5865  0.4142 
   00081    0.4324   -8164.1053  0.4179 
   00082    0.4264   -8180.1166  0.4189 
   00083    0.4440   -8096.0247  0.4134 
   00084    0.4256   -8191.5457  0.4201 
   00085    0.4260   -8218.5837  0.4160 
   00086    0.4080   -8188.0791  0.4153 
   00087    0.4320   -8140.1100  0.4063 
   00088    0.4272   -8199.5187  0.4057 
   00089    0.4072   -8241.8749  0.3957 
   00090    0.4148   -8244.4408  0.3973 
   00091    0.4104   -8206.0396  0.3928 
   00092    0.4340   -8126.3524  0.3951 
   00093    0.4188   -8165.8598  0.3930 
   00094    0.4288   -8187.5863  0.3938 
   00095    0.4320   -8195.6072  0.3908 
   00096    0.4136   -8202.3301  0.3924 
   00097    0.4444   -8168.0840  0.3885 
   00098    0.4152   -8176.0411  0.3843 
   00099    0.4256   -8190.4636  0.3896 
   00100    0.4376   -8155.0980  0.3955 
   00101    0.4232   -8219.4252  0.3968 
   00102    0.4332   -8167.5642  0.3960 
   00103    0.4164   -8106.1799  0.3961 
   00104    0.4404   -8138.8298  0.3948 
   00105    0.4304   -8142.0963  0.3910 
   00106    0.4360   -8170.1124  0.3890 
   00107    0.4244   -8189.1690  0.3984 
   00108    0.4200   -8225.1962  0.3980 
   00109    0.4184   -8250.5726  0.4040 
   00110    0.4196   -8294.8692  0.4030 
   00111    0.4184   -8267.5957  0.4042 
   00112    0.4336   -8262.1263  0.4040 
   00113    0.4200   -8261.9788  0.4038 
   00114    0.4248   -8247.9509  0.4104 
   00115    0.4332   -8298.8309  0.4127 
   00116    0.4076   -8294.9339  0.4108 
   00117    0.4108   -8260.0606  0.4131 
   00118    0.4212   -8238.0712  0.4092 
   00119    0.4280   -8259.3667  0.4061 
   00120    0.4248   -8295.2883  0.4040 
   00121    0.4052   -8254.0811  0.4063 
   00122    0.4188   -8240.4800  0.4036 
   00123    0.4172   -8337.6342  0.4068 
   00124    0.4088   -8324.2625  0.4003 
   00125    0.4100   -8303.6415  0.4010 
