temperature,order
0.05,0.981
0.10344827586206898,0.972
0.15689655172413794,0.943
0.21034482758620693,0.928
0.2637931034482759,0.897
0.31724137931034485,0.888
0.3706896551724138,0.853
0.4241379310344828,0.867
0.47758620689655173,0.849
0.5310344827586208,0.812
0.5844827586206898,0.638
0.6379310344827587,0.438
0.6913793103448277,0.350
0.7448275862068966,0.397
0.7982758620689656,0.264
0.8517241379310345,0.368
0.9051724137931035,0.334
0.9586206896551726,0.341
1.0120689655172415,0.347
1.0655172413793104,0.299
1.1189655172413795,0.279
1.1724137931034484,0.327
1.2258620689655173,0.332
1.2793103448275862,0.280
1.3327586206896553,0.271
1.3862068965517242,0.316
1.4396551724137931,0.275
1.4931034482758623,0.300
1.5465517241379312,0.293
1.6,0.276
0.05,0.987
0.10344827586206898,0.969
0.15689655172413794,0.957
0.21034482758620693,0.904
0.2637931034482759,0.934
0.31724137931034485,0.856
0.3706896551724138,0.873
0.4241379310344828,0.829
0.47758620689655173,0.849
0.5310344827586208,0.730
0.5844827586206898,0.676
0.6379310344827587,0.416
0.6913793103448277,0.342
0.7448275862068966,0.372
0.7982758620689656,0.396
0.8517241379310345,0.370
0.9051724137931035,0.279
0.9586206896551726,0.262
1.0120689655172415,0.299
1.0655172413793104,0.338
1.1189655172413795,0.345
1.1724137931034484,0.276
1.2258620689655173,0.294
1.2793103448275862,0.286
1.3327586206896553,0.314
1.3862068965517242,0.272
1.4396551724137931,0.291
1.4931034482758623,0.338
1.5465517241379312,0.292
1.6,0.285
0.05,0.977
0.10344827586206898,0.960
0.15689655172413794,0.875
0.21034482758620693,0.938
0.2637931034482759,0.884
0.31724137931034485,0.843
0.3706896551724138,0.838
0.4241379310344828,0.841
0.47758620689655173,0.794
0.5310344827586208,0.769
0.5844827586206898,0.469
0.6379310344827587,0.608
0.6913793103448277,0.430
0.7448275862068966,0.367
0.7982758620689656,0.514
0.8517241379310345,0.349
0.9051724137931035,0.324
0.9586206896551726,0.345
1.0120689655172415,0.254
1.0655172413793104,0.279
1.1189655172413795,0.323
1.1724137931034484,0.294
1.2258620689655173,0.332
1.2793103448275862,0.288
1.3327586206896553,0.273
1.3862068965517242,0.309
1.4396551724137931,0.278
1.4931034482758623,0.314
1.5465517241379312,0.310
1.6,0.365
0.05,0.977
0.10344827586206898,0.963
0.15689655172413794,0.956
0.21034482758620693,0.910
0.2637931034482759,0.901
0.31724137931034485,0.910
0.3706896551724138,0.864
0.4241379310344828,0.863
0.47758620689655173,0.754
0.5310344827586208,0.697
0.5844827586206898,0.479
0.6379310344827587,0.438
0.6913793103448277,0.318
0.7448275862068966,0.394
0.7982758620689656,0.389
0.8517241379310345,0.275
0.9051724137931035,0.281
0.9586206896551726,0.318
1.0120689655172415,0.335
1.0655172413793104,0.426
1.1189655172413795,0.322
1.1724137931034484,0.330
1.2258620689655173,0.284
1.2793103448275862,0.340
1.3327586206896553,0.345
1.3862068965517242,0.295
1.4396551724137931,0.337
1.4931034482758623,0.327
1.5465517241379312,0.320
1.6,0.282
0.05,0.983
0.10344827586206898,0.966
0.15689655172413794,0.951
0.21034482758620693,0.930
0.2637931034482759,0.897
0.31724137931034485,0.898
0.3706896551724138,0.858
0.4241379310344828,0.846
0.47758620689655173,0.756
0.5310344827586208,0.731
0.5844827586206898,0.650
0.6379310344827587,0.438
0.6913793103448277,0.421
0.7448275862068966,0.277
0.7982758620689656,0.279
0.8517241379310345,0.352
0.9051724137931035,0.356
0.9586206896551726,0.358
1.0120689655172415,0.294
1.0655172413793104,0.262
1.1189655172413795,0.360
1.1724137931034484,0.293
1.2258620689655173,0.348
