temperature,order
0.05,0.987
0.10344827586206898,0.974
0.15689655172413794,0.934
0.21034482758620693,0.947
0.2637931034482759,0.882
0.31724137931034485,0.895
0.3706896551724138,0.883
0.4241379310344828,0.824
0.47758620689655173,0.833
0.5310344827586208,0.697
0.5844827586206898,0.666
0.6379310344827587,0.421
0.6913793103448277,0.348
0.7448275862068966,0.375
0.7982758620689656,0.312
0.8517241379310345,0.336
0.9051724137931035,0.278
0.9586206896551726,0.348
1.0120689655172415,0.375
1.0655172413793104,0.292
1.1189655172413795,0.307
1.1724137931034484,0.324
1.2258620689655173,0.339
1.2793103448275862,0.287
1.3327586206896553,0.293
1.3862068965517242,0.317
1.4396551724137931,0.354
1.4931034482758623,0.291
1.5465517241379312,0.268
1.6,0.260
0.05,0.478
0.10344827586206898,0.972
0.15689655172413794,0.955
0.21034482758620693,0.902
0.2637931034482759,0.925
0.31724137931034485,0.885
0.3706896551724138,0.883
0.4241379310344828,0.847
0.47758620689655173,0.850
0.5310344827586208,0.789
0.5844827586206898,0.589
0.6379310344827587,0.436
0.6913793103448277,0.399
0.7448275862068966,0.390
0.7982758620689656,0.456
0.8517241379310345,0.282
0.9051724137931035,0.298
0.9586206896551726,0.303
1.0120689655172415,0.336
1.0655172413793104,0.336
1.1189655172413795,0.271
1.1724137931034484,0.283
1.2258620689655173,0.284
1.2793103448275862,0.350
1.3327586206896553,0.263
1.3862068965517242,0.275
1.4396551724137931,0.343
1.4931034482758623,0.277
1.5465517241379312,0.298
1.6,0.301
0.05,0.985
0.10344827586206898,0.591
0.15689655172413794,0.954
0.21034482758620693,0.930
0.2637931034482759,0.911
0.31724137931034485,0.911
0.3706896551724138,0.848
0.4241379310344828,0.796
0.47758620689655173,0.813
0.5310344827586208,0.795
0.5844827586206898,0.612
0.6379310344827587,0.549
0.6913793103448277,0.515
0.7448275862068966,0.283
0.7982758620689656,0.370
0.8517241379310345,0.316
0.9051724137931035,0.333
0.9586206896551726,0.313
1.0120689655172415,0.338
1.0655172413793104,0.281
1.1189655172413795,0.329
1.1724137931034484,0.323
1.2258620689655173,0.287
1.2793103448275862,0.313
1.3327586206896553,0.327
1.3862068965517242,0.286
1.4396551724137931,0.304
1.4931034482758623,0.314
1.5465517241379312,0.303
1.6,0.313
0.05,0.758
0.10344827586206898,0.964
0.15689655172413794,0.948
0.21034482758620693,0.941
0.2637931034482759,0.893
0.31724137931034485,0.880
0.3706896551724138,0.899
0.4241379310344828,0.875
0.47758620689655173,0.834
0.5310344827586208,0.801
0.5844827586206898,0.679
0.6379310344827587,0.490
0.6913793103448277,0.328
0.7448275862068966,0.366
0.7982758620689656,0.392
0.8517241379310345,0.311
0.9051724137931035,0.331
0.9586206896551726,0.334
1.0120689655172415,0.320
1.0655172413793104,0.333
1.1189655172413795,0.355
1.1724137931034484,0.300
1.2258620689655173,0.311
1.2793103448275862,0.301
1.3327586206896553,0.320
1.3862068965517242,0.302
1.4396551724137931,0.278
1.4931034482758623,0.272
1.5465517241379312,0.281
1.6,0.355
0.05,0.979
0.10344827586206898,0.971
0.15689655172413794,0.957
0.21034482758620693,0.937
0.2637931034482759,0.902
0.31724137931034485,0.866
0.3706896551724138,0.881
0.4241379310344828,0.747
0.47758620689655173,0.783
0.5310344827586208,0.744
0.5844827586206898,0.718
0.6379310344827587,0.444
0.6913793103448277,0.353
0.7448275862068966,0.465
0.7982758620689656,0.294
0.8517241379310345,0.282
0.9051724137931035,0.262
0.9586206896551726,0.329
1.0120689655172415,0.330
1.0655172413793104,0.339
1.1189655172413795,0.322
1.1724137931034484,0.325
1.2258620689655173,0.308
1.2793103448275862,0.326
1.3327586206896553,0.307
1.3862068965517242,0.294
1.4396551724137931,0.277
1.4931034482758623,0.292
1.5465517241379312,0.327
1.6,0.328
0.05,0.751
0.10344827586206898,0.954
0.15689655172413794,0.349
0.21034482758620693,0.931
0.2637931034482759,0.897
0.31724137931034485,0.916
0.3706896551724138,0.845
0.4241379310344828,0.873
0.47758620689655173,0.775
0.5310344827586208,0.815
0.5844827586206898,0.492
0.6379310344827587,0.384
0.6913793103448277,0.394
0.7448275862068966,0.455
0.7982758620689656,0.333
0.8517241379310345,0.296
0.9051724137931035,0.387
0.9586206896551726,0.286
1.0120689655172415,0.292
1.0655172413793104,0.297
1.1189655172413795,0.362
1.1724137931034484,0.340
1.2258620689655173,0.289
1.2793103448275862,0.304
1.3327586206896553,0.324
1.3862068965517242,0.297
1.4396551724137931,0.275
1.4931034482758623,0.291
1.5465517241379312,0.268
1.6,0.278
0.05,0.706
0.10344827586206898,0.963
0.15689655172413794,0.935
0.21034482758620693,0.909
0.2637931034482759,0.897
0.31724137931034485,0.887
0.3706896551724138,0.890
0.4241379310344828,0.667
0.47758620689655173,0.838
0.5310344827586208,0.772
0.5844827586206898,0.697
0.6379310344827587,0.334
0.6913793103448277,0.364
0.7448275862068966,0.310
0.7982758620689656,0.362
0.8517241379310345,0.322
0.9051724137931035,0.320
0.9586206896551726,0.310
1.0120689655172415,0.285
1.0655172413793104,0.266
1.1189655172413795,0.352
1.1724137931034484,0.399
1.2258620689655173,0.264
1.2793103448275862,0.306
1.3327586206896553,0.333
1.3862068965517242,0.279
1.4396551724137931,0.317
1.4931034482758623,0.300
1.5465517241379312,0.296
1.6,0.302
0.05,0.968
0.10344827586206898,0.947
0.15689655172413794,0.957
0.21034482758620693,0.925
0.2637931034482759,0.652
0.31724137931034485,0.893
0.3706896551724138,0.897
0.4241379310344828,0.759
0.47758620689655173,0.778
0.5310344827586208,0.782
0.5844827586206898,0.588
0.6379310344827587,0.494
0.6913793103448277,0.434
0.7448275862068966,0.330
0.7982758620689656,0.375
0.8517241379310345,0.302
0.9051724137931035,0.306
0.9586206896551726,0.300
1.0120689655172415,0.294
1.0655172413793104,0.345
1.1189655172413795,0.314
1.1724137931034484,0.288
1.2258620689655173,0.287
1.2793103448275862,0.318
1.3327586206896553,0.283
1.3862068965517242,0.343
1.4396551724137931,0.281
1.4931034482758623,0.268
1.5465517241379312,0.289
1.6,0.313
0.05,0.505
0.10344827586206898,0.968
0.15689655172413794,0.965
0.21034482758620693,0.931
0.2637931034482759,0.295
0.31724137931034485,0.870
0.3706896551724138,0.871
0.4241379310344828,0.861
0.47758620689655173,0.805
0.5310344827586208,0.769
0.5844827586206898,0.385
0.6379310344827587,0.391
0.6913793103448277,0.274
0.7448275862068966,0.378
0.7982758620689656,0.368
0.8517241379310345,0.372
0.9051724137931035,0.311
0.9586206896551726,0.329
1.0120689655172415,0.277
1.0655172413793104,0.340
1.1189655172413795,0.276
1.1724137931034484,0.287
1.2258620689655173,0.275
1.2793103448275862,0.299
1.3327586206896553,0.338
1.3862068965517242,0.295
1.4396551724137931,0.274
1.4931034482758623,0.303
1.5465517241379312,0.324
1.6,0.332
0.05,0.984
0.10344827586206898,0.964
0.15689655172413794,0.713
0.21034482758620693,0.931
0.2637931034482759,0.898
0.31724137931034485,0.878
0.3706896551724138,0.868
0.4241379310344828,0.882
0.47758620689655173,0.798
0.5310344827586208,0.709
0.5844827586206898,0.665
0.6379310344827587,0.553
0.6913793103448277,0.448
0.7448275862068966,0.369
0.7982758620689656,0.295
0.8517241379310345,0.302
0.9051724137931035,0.303
0.9586206896551726,0.284
1.0120689655172415,0.326
1.0655172413793104,0.285
1.1189655172413795,0.325
1.1724137931034484,0.273
1.2258620689655173,0.301
1.2793103448275862,0.309
1.3327586206896553,0.266
1.3862068965517242,0.286
1.4396551724137931,0.282
1.4931034482758623,0.300
1.5465517241379312,0.322
1.6,0.326
0.05,0.981
0.10344827586206898,0.959
0.15689655172413794,0.942
0.21034482758620693,0.910
0.2637931034482759,0.900
0.31724137931034485,0.866
0.3706896551724138,0.880
0.4241379310344828,0.841
0.47758620689655173,0.795
0.5310344827586208,0.802
0.5844827586206898,0.304
0.6379310344827587,0.530
0.6913793103448277,0.269
0.7448275862068966,0.424
0.7982758620689656,0.425
0.8517241379310345,0.388
0.9051724137931035,0.384
0.9586206896551726,0.279
1.0120689655172415,0.353
1.0655172413793104,0.325
1.1189655172413795,0.278
1.1724137931034484,0.284
1.2258620689655173,0.266
1.2793103448275862,0.353
1.3327586206896553,0.387
1.3862068965517242,0.333
1.4396551724137931,0.276
1.4931034482758623,0.313
1.5465517241379312,0.305
1.6,0.271
0.05,0.986
0.10344827586206898,0.966
0.15689655172413794,0.936
0.21034482758620693,0.914
0.2637931034482759,0.878
0.31724137931034485,0.901
0.3706896551724138,0.832
0.4241379310344828,0.884
0.47758620689655173,0.740
0.5310344827586208,0.754
0.5844827586206898,0.703
0.6379310344827587,0.350
0.6913793103448277,0.358
0.7448275862068966,0.308
0.7982758620689656,0.313
0.8517241379310345,0.317
0.9051724137931035,0.313
0.9586206896551726,0.316
1.0120689655172415,0.421
1.0655172413793104,0.307
1.1189655172413795,0.366
1.1724137931034484,0.275
1.2258620689655173,0.271
1.2793103448275862,0.320
1.3327586206896553,0.305
1.3862068965517242,0.298
1.4396551724137931,0.317
1.4931034482758623,0.340
1.5465517241379312,0.315
1.6,0.252
0.05,0.326
0.10344827586206898,0.975
0.15689655172413794,0.936
0.21034482758620693,0.918
0.2637931034482759,0.908
0.31724137931034485,0.902
0.3706896551724138,0.874
0.4241379310344828,0.377
0.47758620689655173,0.789
0.5310344827586208,0.805
0.5844827586206898,0.507
0.6379310344827587,0.573
0.6913793103448277,0.498
0.7448275862068966,0.447
0.7982758620689656,0.330
0.8517241379310345,0.321
0.9051724137931035,0.328
0.9586206896551726,0.334
1.0120689655172415,0.293
1.0655172413793104,0.291
1.1189655172413795,0.314
1.1724137931034484,0.306
1.2258620689655173,0.377
1.2793103448275862,0.272
1.3327586206896553,0.288
