#=====================================================
# File created:        Thu-30-Oct-2025-at-12-34-48AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        17.592733
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2516.9351  0.2562 
   00001    0.6800   -3715.5386  0.2621 
   00002    0.6268   -4467.4030  0.2637 
   00003    0.5976   -5104.4726  0.2694 
   00004    0.5620   -5520.2966  0.2759 
   00005    0.5496   -5832.7876  0.2722 
   00006    0.5228   -6135.7825  0.2843 
   00007    0.5004   -6400.2747  0.2796 
   00008    0.4860   -6556.7079  0.2847 
   00009    0.5104   -6677.7414  0.2842 
   00010    0.4992   -6751.3262  0.2903 
   00011    0.4852   -6909.6841  0.2886 
   00012    0.4780   -7041.5637  0.2888 
   00013    0.4556   -7122.2319  0.2810 
   00014    0.4564   -7240.9177  0.2816 
   00015    0.4532   -7326.1640  0.2742 
   00016    0.4548   -7375.0013  0.2818 
   00017    0.4544   -7465.6385  0.2912 
   00018    0.4608   -7540.3602  0.2891 
   00019    0.4500   -7553.2215  0.2920 
   00020    0.4436   -7598.1395  0.2944 
   00021    0.4460   -7602.9213  0.2925 
   00022    0.4384   -7653.9682  0.2871 
   00023    0.4468   -7672.2097  0.2805 
   00024    0.4320   -7720.7548  0.2785 
   00025    0.4372   -7769.5884  0.2755 
   00026    0.4440   -7791.4840  0.2788 
   00027    0.4420   -7828.2183  0.2756 
   00028    0.4304   -7841.4936  0.2665 
   00029    0.4420   -7899.0357  0.2735 
   00030    0.4364   -7905.5538  0.2697 
   00031    0.4272   -7925.7468  0.2592 
   00032    0.4340   -7946.1474  0.2634 
   00033    0.4408   -7922.8142  0.2683 
   00034    0.4480   -7883.5548  0.2721 
   00035    0.4272   -7909.0285  0.2670 
   00036    0.4292   -7976.4146  0.2710 
   00037    0.4420   -7974.2847  0.2771 
   00038    0.4296   -7994.7735  0.2824 
   00039    0.4316   -8008.4832  0.2808 
   00040    0.4228   -7970.1733  0.2823 
   00041    0.4364   -8021.8669  0.2816 
   00042    0.4124   -8000.0179  0.2788 
   00043    0.4228   -7985.4984  0.2759 
   00044    0.4372   -8009.7383  0.2702 
   00045    0.4220   -8038.7911  0.2761 
   00046    0.4356   -8067.4785  0.2898 
   00047    0.4120   -8056.6473  0.2871 
   00048    0.4236   -8080.2816  0.2860 
   00049    0.4180   -8087.2860  0.2843 
   00050    0.4308   -8103.4122  0.2852 
   00051    0.4224   -8112.0703  0.2783 
   00052    0.4104   -8086.3643  0.2747 
   00053    0.4272   -8162.5815  0.2769 
   00054    0.4248   -8108.0022  0.2765 
   00055    0.4368   -8087.8381  0.2838 
