#=====================================================
# File created:        Thu-30-Oct-2025-at-12-37-56AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        12.167615
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2507.3563  0.2683 
   00001    0.6960   -3758.0608  0.2610 
   00002    0.6192   -4515.9537  0.2611 
   00003    0.5936   -5025.2930  0.2582 
   00004    0.5644   -5462.9796  0.2655 
   00005    0.5572   -5762.0501  0.2640 
   00006    0.5224   -6076.8901  0.2558 
   00007    0.5036   -6310.7699  0.2606 
   00008    0.4900   -6520.4277  0.2596 
   00009    0.4824   -6665.6684  0.2609 
   00010    0.4800   -6821.8187  0.2671 
   00011    0.4636   -6930.5014  0.2691 
   00012    0.4848   -7035.5039  0.2723 
   00013    0.4756   -7222.3098  0.2778 
   00014    0.4528   -7269.8078  0.2812 
   00015    0.4816   -7361.4819  0.2889 
   00016    0.4636   -7448.4666  0.2845 
   00017    0.4584   -7475.5929  0.2932 
   00018    0.4540   -7511.0579  0.2906 
   00019    0.4540   -7573.2841  0.2959 
   00020    0.4388   -7629.8535  0.2954 
   00021    0.4396   -7689.0099  0.2883 
   00022    0.4552   -7714.4586  0.2913 
   00023    0.4572   -7790.3318  0.2948 
   00024    0.4400   -7860.8864  0.2973 
   00025    0.4220   -7805.7067  0.3038 
   00026    0.4460   -7776.9107  0.2952 
   00027    0.4340   -7781.3268  0.2911 
   00028    0.4356   -7790.9316  0.2921 
   00029    0.4416   -7801.0444  0.2908 
   00030    0.4308   -7842.4811  0.2855 
   00031    0.4312   -7847.2538  0.2882 
   00032    0.4336   -7860.9520  0.2866 
   00033    0.4196   -7921.4327  0.2910 
   00034    0.4340   -7947.2601  0.2831 
   00035    0.4408   -7979.7267  0.2887 
   00036    0.4164   -8012.9672  0.2892 
   00037    0.4376   -8058.4330  0.2940 
   00038    0.4284   -8082.1653  0.2918 
   00039    0.4200   -8066.4116  0.2965 
   00040    0.4280   -8087.9770  0.2939 
   00041    0.4380   -8081.4240  0.2922 
   00042    0.4028   -8062.6740  0.2937 
   00043    0.4360   -8069.4653  0.2962 
   00044    0.4392   -8092.9549  0.3058 
   00045    0.4232   -8086.7133  0.3099 
   00046    0.4404   -8138.2124  0.3161 
   00047    0.4280   -8135.5990  0.3213 
   00048    0.4364   -8109.7594  0.3232 
   00049    0.4276   -8102.6282  0.3291 
   00050    0.4280   -8095.8823  0.3310 
   00051    0.4396   -8111.6052  0.3298 
   00052    0.4340   -8097.9065  0.3352 
   00053    0.4368   -8083.7132  0.3320 
   00054    0.4204   -8072.2428  0.3336 
   00055    0.4236   -8120.6581  0.3395 
   00056    0.4348   -8155.5001  0.3331 
   00057    0.4288   -8142.9979  0.3306 
   00058    0.4400   -8151.9597  0.3327 
   00059    0.4116   -8162.3996  0.3357 
   00060    0.4388   -8165.8157  0.3398 
   00061    0.4036   -8182.1511  0.3433 
   00062    0.4260   -8192.6466  0.3394 
   00063    0.4252   -8190.8445  0.3404 
   00064    0.4192   -8199.5930  0.3435 
   00065    0.4228   -8203.8244  0.3467 
   00066    0.4332   -8234.4690  0.3453 
   00067    0.4344   -8209.1723  0.3481 
   00068    0.4180   -8210.3232  0.3469 
   00069    0.4216   -8197.2208  0.3495 
   00070    0.4164   -8279.2586  0.3540 
   00071    0.4192   -8274.6996  0.3471 
   00072    0.4232   -8244.1939  0.3510 
   00073    0.4108   -8266.4907  0.3511 
   00074    0.4040   -8234.1462  0.3505 
   00075    0.4144   -8244.0956  0.3520 
   00076    0.4172   -8249.4905  0.3517 
   00077    0.4160   -8279.9812  0.3491 
   00078    0.4248   -8335.5732  0.3430 
   00079    0.4216   -8284.7035  0.3398 
   00080    0.4188   -8232.2277  0.3474 
   00081    0.4220   -8265.3018  0.3447 
   00082    0.3988   -8271.8412  0.3420 
   00083    0.4236   -8349.4962  0.3420 
   00084    0.4068   -8327.1839  0.3465 
   00085    0.4084   -8339.6496  0.3441 
   00086    0.4188   -8298.9219  0.3413 
   00087    0.4252   -8291.3902  0.3450 
   00088    0.4380   -8319.7353  0.3376 
   00089    0.4120   -8295.4265  0.3371 
   00090    0.4340   -8328.2713  0.3334 
   00091    0.4184   -8314.1101  0.3352 
   00092    0.4200   -8346.3948  0.3277 
   00093    0.4280   -8350.1429  0.3278 
   00094    0.4116   -8354.3850  0.3315 
   00095    0.4200   -8340.5760  0.3375 
   00096    0.4040   -8322.8716  0.3359 
   00097    0.4272   -8346.2060  0.3292 
   00098    0.4084   -8371.5042  0.3282 
   00099    0.4380   -8361.9112  0.3252 
   00100    0.4184   -8343.5303  0.3239 
   00101    0.4300   -8334.0323  0.3185 
   00102    0.4316   -8338.3328  0.3171 
   00103    0.4184   -8320.4759  0.3167 
   00104    0.4172   -8316.6964  0.3108 
   00105    0.4316   -8352.3371  0.3080 
   00106    0.4188   -8383.6207  0.3088 
   00107    0.4144   -8373.6944  0.3067 
   00108    0.4096   -8367.4578  0.3058 
   00109    0.4312   -8360.7184  0.3030 
   00110    0.4220   -8372.9915  0.3010 
   00111    0.4140   -8372.6872  0.3059 
   00112    0.4292   -8342.3658  0.3051 
   00113    0.3904   -8330.5898  0.3104 
   00114    0.4052   -8333.4645  0.3068 
   00115    0.4256   -8319.8702  0.3068 
   00116    0.4280   -8324.4468  0.3077 
   00117    0.4176   -8321.7699  0.3055 
   00118    0.4356   -8266.3888  0.3030 
   00119    0.4220   -8289.6191  0.2946 
   00120    0.4072   -8284.7413  0.2974 
   00121    0.4376   -8280.6040  0.3008 
   00122    0.4228   -8281.8190  0.2953 
