temperature,order
0.05,0.986
0.10344827586206898,0.975
0.15689655172413794,0.960
0.21034482758620693,0.940
0.2637931034482759,0.932
0.31724137931034485,0.893
0.3706896551724138,0.891
0.4241379310344828,0.882
0.47758620689655173,0.853
0.5310344827586208,0.839
0.5844827586206898,0.829
0.6379310344827587,0.719
0.6913793103448277,0.787
0.7448275862068966,0.778
0.7982758620689656,0.301
0.8517241379310345,0.516
0.9051724137931035,0.353
0.9586206896551726,0.483
1.0120689655172415,0.383
1.0655172413793104,0.399
1.1189655172413795,0.325
1.1724137931034484,0.301
1.2258620689655173,0.322
1.2793103448275862,0.328
1.3327586206896553,0.319
1.3862068965517242,0.276
1.4396551724137931,0.273
1.4931034482758623,0.262
1.5465517241379312,0.366
1.6,0.317
0.05,0.988
0.10344827586206898,0.968
0.15689655172413794,0.952
0.21034482758620693,0.923
0.2637931034482759,0.931
0.31724137931034485,0.897
0.3706896551724138,0.879
0.4241379310344828,0.893
0.47758620689655173,0.842
0.5310344827586208,0.883
0.5844827586206898,0.842
0.6379310344827587,0.816
0.6913793103448277,0.700
0.7448275862068966,0.663
0.7982758620689656,0.687
0.8517241379310345,0.568
0.9051724137931035,0.402
0.9586206896551726,0.495
1.0120689655172415,0.393
1.0655172413793104,0.287
1.1189655172413795,0.340
1.1724137931034484,0.299
1.2258620689655173,0.396
1.2793103448275862,0.412
1.3327586206896553,0.419
1.3862068965517242,0.350
1.4396551724137931,0.343
1.4931034482758623,0.284
1.5465517241379312,0.335
1.6,0.305
0.05,0.986
0.10344827586206898,0.975
0.15689655172413794,0.953
0.21034482758620693,0.950
0.2637931034482759,0.911
0.31724137931034485,0.923
0.3706896551724138,0.880
0.4241379310344828,0.900
0.47758620689655173,0.887
0.5310344827586208,0.820
0.5844827586206898,0.814
0.6379310344827587,0.747
0.6913793103448277,0.761
0.7448275862068966,0.742
0.7982758620689656,0.667
0.8517241379310345,0.377
0.9051724137931035,0.338
0.9586206896551726,0.557
1.0120689655172415,0.295
1.0655172413793104,0.436
1.1189655172413795,0.388
1.1724137931034484,0.369
1.2258620689655173,0.300
1.2793103448275862,0.254
1.3327586206896553,0.324
1.3862068965517242,0.350
1.4396551724137931,0.299
1.4931034482758623,0.303
1.5465517241379312,0.310
1.6,0.345
0.05,0.981
0.10344827586206898,0.979
0.15689655172413794,0.955
0.21034482758620693,0.927
0.2637931034482759,0.929
0.31724137931034485,0.904
0.3706896551724138,0.904
0.4241379310344828,0.888
0.47758620689655173,0.842
0.5310344827586208,0.835
0.5844827586206898,0.814
0.6379310344827587,0.740
0.6913793103448277,0.777
0.7448275862068966,0.611
0.7982758620689656,0.570
0.8517241379310345,0.679
0.9051724137931035,0.316
0.9586206896551726,0.338
1.0120689655172415,0.409
1.0655172413793104,0.306
1.1189655172413795,0.352
1.1724137931034484,0.443
1.2258620689655173,0.309
1.2793103448275862,0.343
1.3327586206896553,0.328
1.3862068965517242,0.299
1.4396551724137931,0.323
1.4931034482758623,0.305
1.5465517241379312,0.270
1.6,0.278
0.05,0.985
0.10344827586206898,0.975
0.15689655172413794,0.963
0.21034482758620693,0.945
0.2637931034482759,0.911
0.31724137931034485,0.910
0.3706896551724138,0.856
0.4241379310344828,0.874
0.47758620689655173,0.854
0.5310344827586208,0.842
0.5844827586206898,0.794
0.6379310344827587,0.818
0.6913793103448277,0.801
0.7448275862068966,0.699
0.7982758620689656,0.536
0.8517241379310345,0.581
0.9051724137931035,0.592
0.9586206896551726,0.383
1.0120689655172415,0.476
1.0655172413793104,0.389
1.1189655172413795,0.414
1.1724137931034484,0.301
1.2258620689655173,0.258
1.2793103448275862,0.327
1.3327586206896553,0.349
1.3862068965517242,0.411
1.4396551724137931,0.363
1.4931034482758623,0.371
1.5465517241379312,0.328
1.6,0.264
0.05,0.984
0.10344827586206898,0.976
0.15689655172413794,0.963
0.21034482758620693,0.932
0.2637931034482759,0.938
0.31724137931034485,0.913
0.3706896551724138,0.901
0.4241379310344828,0.868
0.47758620689655173,0.850
0.5310344827586208,0.829
0.5844827586206898,0.858
0.6379310344827587,0.779
0.6913793103448277,0.781
0.7448275862068966,0.746
0.7982758620689656,0.710
0.8517241379310345,0.458
0.9051724137931035,0.339
0.9586206896551726,0.510
1.0120689655172415,0.411
1.0655172413793104,0.395
1.1189655172413795,0.391
1.1724137931034484,0.311
1.2258620689655173,0.339
1.2793103448275862,0.360
1.3327586206896553,0.405
1.3862068965517242,0.350
1.4396551724137931,0.295
1.4931034482758623,0.311
1.5465517241379312,0.383
1.6,0.311
0.05,0.990
0.10344827586206898,0.978
0.15689655172413794,0.959
0.21034482758620693,0.942
0.2637931034482759,0.932
0.31724137931034485,0.892
0.3706896551724138,0.891
0.4241379310344828,0.868
0.47758620689655173,0.827
0.5310344827586208,0.817
0.5844827586206898,0.755
0.6379310344827587,0.827
0.6913793103448277,0.727
0.7448275862068966,0.777
0.7982758620689656,0.661
0.8517241379310345,0.515
0.9051724137931035,0.499
0.9586206896551726,0.324
1.0120689655172415,0.289
1.0655172413793104,0.300
1.1189655172413795,0.283
1.1724137931034484,0.385
1.2258620689655173,0.341
1.2793103448275862,0.324
1.3327586206896553,0.347
1.3862068965517242,0.262
1.4396551724137931,0.289
1.4931034482758623,0.299
1.5465517241379312,0.327
1.6,0.301
