temperature,order
0.05,0.988
0.10344827586206898,0.965
0.15689655172413794,0.753
0.21034482758620693,0.938
0.2637931034482759,0.926
0.31724137931034485,0.926
0.3706896551724138,0.907
0.4241379310344828,0.896
0.47758620689655173,0.853
0.5310344827586208,0.817
0.5844827586206898,0.819
0.6379310344827587,0.786
0.6913793103448277,0.743
0.7448275862068966,0.729
0.7982758620689656,0.642
0.8517241379310345,0.583
0.9051724137931035,0.465
0.9586206896551726,0.344
1.0120689655172415,0.289
1.0655172413793104,0.347
1.1189655172413795,0.350
1.1724137931034484,0.331
1.2258620689655173,0.271
1.2793103448275862,0.312
1.3327586206896553,0.303
1.3862068965517242,0.327
1.4396551724137931,0.290
1.4931034482758623,0.355
1.5465517241379312,0.316
1.6,0.318
0.05,0.982
0.10344827586206898,0.971
0.15689655172413794,0.960
0.21034482758620693,0.931
0.2637931034482759,0.922
0.31724137931034485,0.914
0.3706896551724138,0.863
0.4241379310344828,0.886
0.47758620689655173,0.887
0.5310344827586208,0.852
0.5844827586206898,0.767
0.6379310344827587,0.811
0.6913793103448277,0.763
0.7448275862068966,0.738
0.7982758620689656,0.628
0.8517241379310345,0.393
0.9051724137931035,0.455
0.9586206896551726,0.504
1.0120689655172415,0.395
1.0655172413793104,0.317
1.1189655172413795,0.460
1.1724137931034484,0.332
1.2258620689655173,0.356
1.2793103448275862,0.349
1.3327586206896553,0.386
1.3862068965517242,0.287
1.4396551724137931,0.330
1.4931034482758623,0.372
1.5465517241379312,0.274
1.6,0.342
0.05,0.938
0.10344827586206898,0.978
0.15689655172413794,0.947
0.21034482758620693,0.934
0.2637931034482759,0.315
0.31724137931034485,0.303
0.3706896551724138,0.907
0.4241379310344828,0.883
0.47758620689655173,0.831
0.5310344827586208,0.857
0.5844827586206898,0.780
0.6379310344827587,0.835
0.6913793103448277,0.691
0.7448275862068966,0.753
0.7982758620689656,0.651
0.8517241379310345,0.647
0.9051724137931035,0.311
0.9586206896551726,0.471
1.0120689655172415,0.363
1.0655172413793104,0.295
1.1189655172413795,0.399
1.1724137931034484,0.277
1.2258620689655173,0.292
1.2793103448275862,0.350
1.3327586206896553,0.311
1.3862068965517242,0.341
1.4396551724137931,0.373
1.4931034482758623,0.262
1.5465517241379312,0.337
1.6,0.280
0.05,0.987
0.10344827586206898,0.979
0.15689655172413794,0.966
0.21034482758620693,0.930
0.2637931034482759,0.931
0.31724137931034485,0.909
0.3706896551724138,0.894
0.4241379310344828,0.868
0.47758620689655173,0.802
0.5310344827586208,0.859
0.5844827586206898,0.850
0.6379310344827587,0.785
0.6913793103448277,0.783
0.7448275862068966,0.769
0.7982758620689656,0.707
0.8517241379310345,0.651
0.9051724137931035,0.399
0.9586206896551726,0.408
1.0120689655172415,0.450
1.0655172413793104,0.334
1.1189655172413795,0.279
1.1724137931034484,0.362
1.2258620689655173,0.338
1.2793103448275862,0.291
1.3327586206896553,0.360
1.3862068965517242,0.339
1.4396551724137931,0.309
1.4931034482758623,0.387
1.5465517241379312,0.343
1.6,0.315
0.05,0.563
0.10344827586206898,0.407
0.15689655172413794,0.961
0.21034482758620693,0.936
0.2637931034482759,0.942
0.31724137931034485,0.930
0.3706896551724138,0.902
0.4241379310344828,0.889
0.47758620689655173,0.891
0.5310344827586208,0.856
0.5844827586206898,0.814
0.6379310344827587,0.803
