#=====================================================
# File created:        Sat-18-Oct-2025-at-08-20-24PM
# Size of lattice:     10x10
# Number of MC steps:  35
# Reduced temperature: 0.500
# Run time (s):        0.037398
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -109.0737  0.2792 
   00001    0.6600    -169.9068  0.3323 
   00002    0.5800    -192.5722  0.3088 
   00003    0.5400    -200.9139  0.2933 
   00004    0.5700    -211.1168  0.3194 
   00005    0.5000    -217.6146  0.3096 
   00006    0.5800    -234.6713  0.3490 
   00007    0.4900    -241.4946  0.3646 
   00008    0.5600    -246.7050  0.3941 
   00009    0.5200    -250.3216  0.4198 
   00010    0.4500    -265.6651  0.4311 
   00011    0.5100    -276.2329  0.4201 
   00012    0.5800    -270.8878  0.4220 
   00013    0.5000    -265.7054  0.4190 
   00014    0.4800    -268.1268  0.3807 
   00015    0.4700    -261.2837  0.4096 
   00016    0.4600    -265.8125  0.4472 
   00017    0.5000    -278.8910  0.4584 
   00018    0.4800    -275.6700  0.4854 
   00019    0.5700    -270.6224  0.4644 
   00020    0.4300    -264.9170  0.4213 
   00021    0.4300    -258.3273  0.4070 
   00022    0.4000    -272.8126  0.4343 
   00023    0.5200    -273.1407  0.4490 
   00024    0.5000    -272.2087  0.4193 
   00025    0.5100    -270.9666  0.4150 
   00026    0.5100    -269.4271  0.4309 
   00027    0.4900    -267.0937  0.4323 
   00028    0.5800    -261.7923  0.4313 
   00029    0.4100    -270.3024  0.4028 
   00030    0.5000    -273.5183  0.4003 
   00031    0.5200    -287.3894  0.4055 
   00032    0.4400    -294.5669  0.4035 
   00033    0.4400    -292.3603  0.4041 
   00034    0.4700    -292.7209  0.4140 
   00035    0.4500    -290.3719  0.3949 
