#=====================================================
# File created:        Sat-18-Oct-2025-at-06-53-59PM
# Size of lattice:     72x72
# Number of MC steps:  321
# Reduced temperature: 0.500
# Run time (s):        21.710218
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5184.7016  0.2585 
   00001    0.6757   -7588.7952  0.2667 
   00002    0.6302   -9237.9280  0.2773 
   00003    0.5882  -10395.4289  0.2747 
   00004    0.5596  -11347.8944  0.2799 
   00005    0.5498  -12006.5769  0.2916 
   00006    0.5181  -12621.7688  0.2902 
   00007    0.5064  -13118.0492  0.2997 
   00008    0.4904  -13513.0568  0.2995 
   00009    0.4873  -13812.1637  0.2986 
   00010    0.4823  -14142.5909  0.3015 
   00011    0.4657  -14394.5249  0.2989 
   00012    0.4718  -14597.4536  0.2965 
   00013    0.4668  -14797.1256  0.2992 
   00014    0.4670  -14988.9750  0.2979 
   00015    0.4649  -15159.0623  0.3016 
   00016    0.4543  -15308.9525  0.2992 
   00017    0.4504  -15479.4811  0.2972 
   00018    0.4601  -15553.7599  0.2978 
   00019    0.4579  -15613.2609  0.2979 
   00020    0.4562  -15746.7673  0.2958 
   00021    0.4429  -15819.4321  0.2981 
   00022    0.4377  -15955.4224  0.2986 
   00023    0.4400  -16020.6081  0.2979 
   00024    0.4383  -16110.5690  0.3015 
   00025    0.4385  -16199.6279  0.3025 
   00026    0.4450  -16236.1543  0.3010 
   00027    0.4342  -16325.7508  0.3030 
   00028    0.4340  -16385.3286  0.3057 
   00029    0.4277  -16440.6082  0.3027 
   00030    0.4369  -16464.5280  0.3091 
   00031    0.4389  -16465.8109  0.3073 
   00032    0.4327  -16564.4460  0.3089 
   00033    0.4234  -16575.2194  0.3070 
   00034    0.4323  -16567.8842  0.3049 
   00035    0.4315  -16630.0608  0.3045 
   00036    0.4292  -16680.3878  0.3073 
   00037    0.4203  -16794.2035  0.3101 
   00038    0.4373  -16675.4890  0.3060 
   00039    0.4338  -16658.1479  0.3059 
   00040    0.4288  -16662.4891  0.3034 
   00041    0.4157  -16702.9007  0.3015 
   00042    0.4244  -16746.4451  0.2955 
   00043    0.4188  -16745.2451  0.2966 
   00044    0.4290  -16793.9805  0.2957 
   00045    0.4238  -16867.1681  0.2986 
   00046    0.4394  -16909.0016  0.3057 
   00047    0.4215  -16907.2718  0.3120 
   00048    0.4199  -16929.9429  0.3147 
   00049    0.4109  -16980.6741  0.3164 
   00050    0.4336  -17017.5728  0.3199 
   00051    0.4190  -16979.2692  0.3176 
   00052    0.4198  -16967.1314  0.3203 
   00053    0.4252  -16913.7931  0.3193 
   00054    0.4232  -16982.1188  0.3203 
   00055    0.4113  -17030.5213  0.3206 
   00056    0.4300  -17073.6219  0.3243 
   00057    0.4221  -17033.7292  0.3262 
   00058    0.4223  -16982.7745  0.3277 
   00059    0.4253  -16965.3877  0.3296 
   00060    0.4091  -17047.6076  0.3293 
   00061    0.4296  -17043.3511  0.3324 
   00062    0.4209  -17118.2330  0.3339 
   00063    0.4232  -17154.9004  0.3352 
   00064    0.4176  -17192.4416  0.3354 
   00065    0.4296  -17149.2223  0.3360 
   00066    0.4163  -17142.5432  0.3315 
   00067    0.4205  -17187.2153  0.3314 
   00068    0.4182  -17186.1831  0.3315 
   00069    0.4232  -17125.3677  0.3326 
   00070    0.4144  -17200.5297  0.3338 
   00071    0.4144  -17121.6396  0.3355 
   00072    0.4238  -17091.6371  0.3346 
   00073    0.4159  -17149.9003  0.3326 
   00074    0.4144  -17183.0985  0.3284 
   00075    0.4144  -17159.0087  0.3262 
