#=====================================================
# File created:        Sat-18-Oct-2025-at-08-20-37PM
# Size of lattice:     19x19
# Number of MC steps:  54
# Reduced temperature: 0.500
# Run time (s):        0.193077
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -386.3153  0.3083 
   00001    0.6731    -534.6255  0.2948 
   00002    0.6011    -630.8887  0.2917 
   00003    0.5623    -716.5019  0.2907 
   00004    0.5374    -782.7154  0.3184 
   00005    0.5152    -837.8558  0.3221 
   00006    0.5512    -900.0172  0.3094 
   00007    0.5125    -940.6750  0.3277 
   00008    0.5069    -957.8936  0.3497 
   00009    0.4820    -966.2308  0.3379 
   00010    0.5097    -983.4545  0.3467 
   00011    0.4958   -1001.8515  0.3354 
   00012    0.4903   -1011.8154  0.3158 
   00013    0.4404   -1021.8607  0.3191 
   00014    0.4460   -1031.9103  0.3289 
   00015    0.4432   -1067.7097  0.3332 
   00016    0.4765   -1063.0428  0.3429 
   00017    0.4404   -1067.0084  0.3474 
   00018    0.4155   -1070.9962  0.3533 
   00019    0.4460   -1074.7447  0.3480 
   00020    0.4072   -1095.4093  0.3347 
   00021    0.4792   -1096.8461  0.3372 
   00022    0.4792   -1096.6404  0.3476 
   00023    0.4903   -1117.7192  0.3401 
   00024    0.4432   -1111.9215  0.3374 
   00025    0.4654   -1106.4837  0.3568 
   00026    0.4377   -1114.9846  0.3623 
   00027    0.4543   -1123.4452  0.3553 
   00028    0.4737   -1107.0525  0.3448 
   00029    0.4792   -1106.1886  0.3487 
   00030    0.4404   -1131.0116  0.3510 
   00031    0.4958   -1148.1780  0.3670 
   00032    0.4321   -1138.8622  0.3741 
   00033    0.4127   -1148.0564  0.3653 
   00034    0.4515   -1164.2891  0.3726 
   00035    0.4100   -1169.6519  0.3677 
   00036    0.4044   -1173.0824  0.3652 
   00037    0.4155   -1180.7777  0.3752 
   00038    0.4377   -1178.0314  0.3740 
   00039    0.4958   -1185.4682  0.3817 
   00040    0.3712   -1179.4423  0.3940 
   00041    0.4598   -1169.7039  0.3808 
   00042    0.4155   -1171.3439  0.3752 
   00043    0.4183   -1163.6329  0.3782 
   00044    0.4515   -1164.3066  0.3894 
   00045    0.3961   -1157.3353  0.3875 
   00046    0.4571   -1153.8188  0.4000 
   00047    0.3934   -1163.1392  0.4010 
   00048    0.4072   -1160.1963  0.4012 
   00049    0.4515   -1170.6022  0.3914 
   00050    0.3684   -1164.7339  0.3932 
   00051    0.4321   -1169.7778  0.4014 
   00052    0.4377   -1164.5487  0.3878 
   00053    0.4432   -1172.3623  0.3999 
   00054    0.4127   -1170.5737  0.3881 
