#=====================================================
# File created:        Thu-23-Oct-2025-at-12-13-37PM
# Size of lattice:     37x37
# Number of MC steps:  85
# Reduced temperature: 0.500
# Run time (s):        0.487968
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1406.1152  0.2682 
   00001    0.6881   -2131.6355  0.2644 
   00002    0.6253   -2502.1301  0.2738 
   00003    0.5822   -2788.5685  0.2664 
   00004    0.5522   -3024.9510  0.2727 
   00005    0.5215   -3225.3645  0.2700 
   00006    0.5325   -3391.6540  0.2781 
   00007    0.5011   -3512.9632  0.2779 
   00008    0.5142   -3590.1738  0.2818 
   00009    0.4901   -3644.3854  0.2893 
   00010    0.4989   -3733.8730  0.2923 
   00011    0.4763   -3817.3962  0.3078 
   00012    0.4763   -3868.4478  0.3043 
   00013    0.4785   -3924.7049  0.3093 
   00014    0.4536   -3981.2611  0.3214 
   00015    0.4573   -3965.8763  0.3194 
   00016    0.4536   -4002.2715  0.3156 
   00017    0.4419   -4037.1025  0.3124 
   00018    0.4470   -4060.0351  0.3127 
   00019    0.4346   -4081.3290  0.3145 
   00020    0.4565   -4160.4734  0.3105 
   00021    0.4536   -4154.1210  0.3047 
   00022    0.4405   -4207.4855  0.3016 
   00023    0.4478   -4238.1836  0.2998 
   00024    0.4470   -4244.4473  0.3035 
   00025    0.4244   -4280.6235  0.3207 
   00026    0.4324   -4311.7025  0.3235 
   00027    0.4251   -4315.5119  0.3398 
   00028    0.4302   -4338.5914  0.3553 
   00029    0.4449   -4332.2624  0.3574 
   00030    0.4266   -4349.0122  0.3689 
   00031    0.4339   -4345.8743  0.3568 
   00032    0.4427   -4343.5455  0.3556 
   00033    0.4171   -4365.7718  0.3498 
   00034    0.4412   -4355.0404  0.3612 
   00035    0.4492   -4356.5029  0.3611 
   00036    0.4339   -4345.6894  0.3625 
   00037    0.4375   -4352.7949  0.3683 
   00038    0.4595   -4334.0748  0.3687 
   00039    0.4142   -4352.3171  0.3741 
   00040    0.4405   -4387.3968  0.3837 
   00041    0.4397   -4397.7852  0.3887 
   00042    0.4273   -4402.7851  0.3938 
   00043    0.4171   -4383.3692  0.3925 
   00044    0.4193   -4383.6402  0.3880 
   00045    0.4295   -4408.9521  0.3909 
   00046    0.4536   -4462.3268  0.3935 
   00047    0.3959   -4476.6800  0.3974 
   00048    0.4112   -4447.8683  0.4008 
   00049    0.3857   -4473.2777  0.3987 
   00050    0.4536   -4479.4417  0.3970 
   00051    0.4419   -4460.6107  0.3990 
   00052    0.4346   -4496.1717  0.4112 
   00053    0.4193   -4477.4822  0.4153 
   00054    0.4222   -4482.5597  0.4179 
   00055    0.4039   -4508.8720  0.4147 
   00056    0.4302   -4468.9347  0.4185 
   00057    0.4186   -4513.8105  0.4230 
   00058    0.4047   -4513.2120  0.4375 
   00059    0.4039   -4505.3889  0.4402 
   00060    0.3952   -4460.1556  0.4376 
   00061    0.4383   -4454.1500  0.4373 
   00062    0.4251   -4484.7681  0.4352 
   00063    0.4061   -4502.6675  0.4416 
   00064    0.4156   -4495.2893  0.4327 
   00065    0.4142   -4505.9723  0.4299 
   00066    0.4310   -4467.3076  0.4314 
   00067    0.4091   -4484.3449  0.4285 
   00068    0.4273   -4478.6463  0.4297 
   00069    0.4397   -4489.1379  0.4319 
   00070    0.4361   -4463.6255  0.4211 
   00071    0.4127   -4456.6436  0.4278 
   00072    0.4259   -4462.6255  0.4269 
   00073    0.4383   -4472.9883  0.4204 
   00074    0.4193   -4526.4919  0.4246 
   00075    0.4061   -4516.1448  0.4267 
   00076    0.4156   -4527.8852  0.4313 
   00077    0.4295   -4528.3086  0.4292 
   00078    0.4142   -4555.6271  0.4350 
   00079    0.3974   -4531.4683  0.4420 
   00080    0.4164   -4547.7317  0.4510 
   00081    0.4134   -4544.7841  0.4498 
   00082    0.4054   -4499.7229  0.4460 
   00083    0.4251   -4515.8772  0.4449 
   00084    0.4083   -4473.8662  0.4452 
   00085    0.3944   -4498.6105  0.4503 
