#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-10PM
# Size of lattice:     52x52
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.486517
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2760.9900  0.2596 
   00001    0.6723   -3949.2338  0.2798 
   00002    0.6280   -4886.7116  0.2879 
   00003    0.5947   -5518.8733  0.2865 
   00004    0.5651   -5842.9358  0.2838 
   00005    0.5481   -6224.4074  0.2767 
   00006    0.5307   -6517.2370  0.2748 
   00007    0.5178   -6793.3178  0.2848 
   00008    0.4893   -7010.5062  0.2883 
   00009    0.4856   -7209.2285  0.2948 
   00010    0.4726   -7353.5353  0.2934 
   00011    0.4811   -7477.4937  0.3005 
   00012    0.4634   -7578.4630  0.3047 
   00013    0.4586   -7728.2123  0.3017 
   00014    0.4527   -7746.6922  0.3131 
