#=====================================================
# File created:        Sat-18-Oct-2025-at-08-20-10PM
# Size of lattice:     72x72
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.705134
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5029.8834  0.2579 
   00001    0.6813   -7723.7712  0.2669 
   00002    0.6204   -9346.4297  0.2640 
   00003    0.5909  -10489.4560  0.2628 
   00004    0.5577  -11467.0210  0.2737 
   00005    0.5419  -12096.9005  0.2785 
   00006    0.5189  -12647.9669  0.2826 
   00007    0.5120  -13108.2196  0.2888 
   00008    0.4973  -13628.4367  0.2926 
   00009    0.4902  -13937.4721  0.3012 
   00010    0.4643  -14186.1126  0.3060 
   00011    0.4751  -14402.4679  0.3104 
   00012    0.4647  -14602.6921  0.3156 
   00013    0.4759  -14822.5829  0.3192 
   00014    0.4597  -15022.8365  0.3269 
