#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-08PM
# Size of lattice:     19x19
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.069105
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -369.3371  0.2777 
   00001    0.6537    -527.6147  0.2934 
   00002    0.6593    -648.0370  0.3241 
   00003    0.5679    -707.5270  0.3326 
   00004    0.5679    -801.6229  0.3582 
   00005    0.5457    -884.8443  0.3794 
   00006    0.4681    -907.8305  0.3790 
   00007    0.4820    -931.5756  0.3736 
   00008    0.4903    -950.1103  0.3765 
   00009    0.5235    -990.2796  0.3916 
   00010    0.4958   -1014.0285  0.4045 
   00011    0.4820   -1027.6643  0.4175 
   00012    0.4626   -1051.7427  0.4166 
   00013    0.4848   -1069.3152  0.4430 
   00014    0.4349   -1074.2495  0.4614 
