#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-12PM
# Size of lattice:     72x72
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.927356
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5300.9445  0.2568 
   00001    0.6807   -7831.4555  0.2595 
   00002    0.6132   -9331.7943  0.2595 
   00003    0.5880  -10493.8933  0.2617 
   00004    0.5598  -11346.7362  0.2742 
   00005    0.5309  -12115.7692  0.2810 
   00006    0.5314  -12657.8483  0.2848 
   00007    0.5031  -13178.3252  0.2837 
   00008    0.4936  -13543.6629  0.2866 
   00009    0.4850  -13809.7493  0.2937 
   00010    0.4757  -14140.7843  0.2982 
   00011    0.4940  -14382.8667  0.3029 
   00012    0.4699  -14575.3898  0.3019 
   00013    0.4728  -14767.6274  0.3005 
   00014    0.4715  -15055.0401  0.3075 
