#=====================================================
# File created:        Thu-23-Oct-2025-at-12-13-34PM
# Size of lattice:     10x10
# Number of MC steps:  85
# Reduced temperature: 0.500
# Run time (s):        0.041084
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -109.7022  0.3252 
   00001    0.5900    -155.6485  0.2955 
   00002    0.5500    -178.8655  0.3192 
   00003    0.6100    -193.6441  0.3229 
   00004    0.5800    -205.3640  0.3498 
   00005    0.4900    -216.8583  0.4076 
   00006    0.5200    -219.2935  0.4599 
   00007    0.5000    -233.2662  0.4794 
   00008    0.5600    -246.7585  0.4936 
   00009    0.4900    -262.0376  0.4995 
   00010    0.4600    -269.0073  0.5196 
   00011    0.4700    -271.1845  0.5401 
   00012    0.4600    -274.7442  0.6031 
   00013    0.4600    -287.6945  0.6251 
   00014    0.4800    -289.0654  0.6112 
   00015    0.3500    -291.7344  0.6143 
   00016    0.5700    -296.4949  0.6071 
   00017    0.4600    -299.6564  0.6212 
   00018    0.4100    -299.4462  0.6172 
   00019    0.4700    -302.6045  0.6304 
   00020    0.3900    -306.2235  0.6797 
   00021    0.4800    -308.7288  0.7173 
   00022    0.4600    -314.2176  0.6960 
   00023    0.5300    -313.0204  0.6700 
   00024    0.4100    -310.8453  0.7046 
   00025    0.4900    -317.4437  0.7247 
   00026    0.4200    -310.1837  0.7176 
   00027    0.4800    -313.2616  0.7310 
   00028    0.4100    -323.3366  0.7714 
   00029    0.5400    -332.2865  0.7812 
   00030    0.3900    -338.5375  0.7990 
   00031    0.3600    -337.3883  0.7907 
   00032    0.4000    -337.5107  0.7953 
   00033    0.3900    -339.3325  0.8102 
   00034    0.4100    -330.5584  0.7903 
   00035    0.3900    -328.4230  0.7813 
   00036    0.3900    -329.5833  0.7885 
   00037    0.3600    -333.6568  0.8011 
   00038    0.3500    -324.9253  0.8056 
   00039    0.4200    -325.6871  0.7950 
   00040    0.4600    -329.1433  0.8105 
   00041    0.4000    -339.4298  0.8409 
   00042    0.4000    -341.4813  0.8601 
   00043    0.4200    -339.6582  0.8690 
   00044    0.4500    -344.4780  0.8750 
   00045    0.4200    -333.8658  0.8649 
   00046    0.3500    -345.6761  0.8783 
   00047    0.4500    -348.5175  0.8963 
   00048    0.4100    -348.7474  0.8976 
   00049    0.5300    -342.4218  0.8748 
   00050    0.3900    -341.4141  0.8680 
   00051    0.4500    -334.2101  0.8681 
   00052    0.4700    -352.9143  0.8798 
   00053    0.3900    -343.2700  0.8581 
   00054    0.4900    -353.0863  0.8865 
   00055    0.4100    -352.0812  0.9016 
   00056    0.3900    -354.7089  0.9110 
   00057    0.4300    -349.1024  0.9032 
   00058    0.4300    -334.8547  0.8797 
   00059    0.3900    -333.8346  0.8776 
   00060    0.3800    -340.6315  0.8886 
   00061    0.3500    -336.2174  0.8920 
   00062    0.3800    -349.4762  0.9103 
   00063    0.3300    -356.2575  0.9154 
   00064    0.4300    -349.6145  0.9199 
   00065    0.3500    -347.5343  0.9093 
   00066    0.3900    -340.7211  0.9079 
   00067    0.4600    -344.4635  0.9044 
   00068    0.4500    -349.1058  0.9014 
   00069    0.4400    -348.4942  0.9117 
   00070    0.3800    -349.8520  0.9100 
   00071    0.4000    -363.4062  0.9234 
   00072    0.3400    -354.9954  0.9202 
   00073    0.3700    -351.2100  0.9211 
   00074    0.4000    -350.2285  0.9158 
   00075    0.5000    -350.4051  0.9166 
   00076    0.4400    -347.6869  0.9130 
   00077    0.4200    -343.2723  0.9043 
   00078    0.4700    -342.4714  0.8926 
   00079    0.4900    -343.4259  0.8832 
   00080    0.4400    -342.9803  0.8856 
   00081    0.4000    -352.7821  0.8932 
   00082    0.3600    -349.1156  0.8904 
   00083    0.4800    -349.7751  0.9017 
   00084    0.4300    -348.1140  0.8824 
   00085    0.4200    -351.1387  0.8923 
