#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-07PM
# Size of lattice:     7x7
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.010042
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -50.6542  0.4045 
   00001    0.6735     -73.1198  0.4114 
   00002    0.7347     -87.9870  0.4669 
   00003    0.5510    -106.7399  0.4780 
   00004    0.5510    -120.5605  0.4892 
   00005    0.5102    -115.7049  0.4812 
   00006    0.5714    -118.6925  0.5823 
   00007    0.5306    -118.6552  0.6281 
   00008    0.4490    -127.1970  0.6133 
   00009    0.5918    -135.0870  0.6957 
   00010    0.4898    -138.9763  0.7068 
   00011    0.4898    -146.1941  0.7303 
   00012    0.5510    -140.7395  0.7018 
   00013    0.3878    -145.1361  0.7631 
   00014    0.3878    -140.9641  0.7141 
