#=====================================================
# File created:        Thu-23-Oct-2025-at-12-13-20PM
# Size of lattice:     72x72
# Number of MC steps:  35
# Reduced temperature: 0.500
# Run time (s):        0.781257
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5118.4781  0.2603 
   00001    0.6773   -7665.4167  0.2642 
   00002    0.6235   -9227.2656  0.2648 
   00003    0.5826  -10368.5820  0.2660 
   00004    0.5583  -11355.7345  0.2626 
   00005    0.5361  -12035.8381  0.2709 
   00006    0.5185  -12655.0753  0.2719 
   00007    0.5033  -13084.0103  0.2677 
   00008    0.4902  -13404.7878  0.2731 
   00009    0.5019  -13732.3158  0.2760 
   00010    0.4823  -13999.7696  0.2824 
   00011    0.4886  -14363.8388  0.2879 
   00012    0.4691  -14567.4663  0.2910 
   00013    0.4742  -14818.2037  0.2855 
   00014    0.4564  -15067.2635  0.2857 
   00015    0.4647  -15241.0819  0.2857 
   00016    0.4649  -15441.6234  0.2849 
   00017    0.4437  -15543.3700  0.2903 
   00018    0.4431  -15634.5866  0.2931 
   00019    0.4313  -15660.0425  0.2869 
   00020    0.4506  -15826.7356  0.2904 
   00021    0.4460  -15972.7872  0.2912 
   00022    0.4531  -16026.6510  0.2891 
   00023    0.4529  -16144.1014  0.2895 
   00024    0.4408  -16175.8102  0.2834 
   00025    0.4448  -16194.4697  0.2857 
   00026    0.4390  -16256.6620  0.2890 
   00027    0.4302  -16314.9318  0.2923 
   00028    0.4223  -16335.2202  0.2924 
   00029    0.4338  -16355.3271  0.2936 
   00030    0.4309  -16409.2380  0.2927 
   00031    0.4360  -16440.2525  0.2959 
   00032    0.4284  -16503.4608  0.2970 
   00033    0.4259  -16609.5584  0.3006 
   00034    0.4255  -16650.2978  0.3025 
   00035    0.4279  -16688.1585  0.3021 
