#=====================================================
# File created:        Thu-23-Oct-2025-at-12-14-37PM
# Size of lattice:     52x52
# Number of MC steps:  321
# Reduced temperature: 0.500
# Run time (s):        3.706370
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2696.2041  0.2567 
   00001    0.6679   -3959.0844  0.2601 
   00002    0.6158   -4877.8109  0.2657 
   00003    0.5891   -5473.5433  0.2695 
   00004    0.5481   -5979.0636  0.2776 
   00005    0.5392   -6315.9571  0.2810 
   00006    0.5141   -6612.1582  0.2736 
   00007    0.5237   -6862.2072  0.2737 
   00008    0.4871   -7130.1643  0.2717 
   00009    0.4719   -7343.0914  0.2790 
   00010    0.4723   -7426.9251  0.2725 
   00011    0.4774   -7548.0557  0.2777 
   00012    0.4756   -7632.5401  0.2775 
   00013    0.4675   -7768.1516  0.2826 
   00014    0.4479   -7864.7155  0.2814 
   00015    0.4593   -7943.7148  0.2822 
   00016    0.4593   -7970.6557  0.2857 
   00017    0.4475   -8051.1551  0.2805 
   00018    0.4479   -8095.1164  0.2887 
   00019    0.4342   -8162.7382  0.2862 
   00020    0.4615   -8215.0612  0.2868 
   00021    0.4323   -8218.2464  0.2916 
   00022    0.4460   -8301.7409  0.2969 
   00023    0.4271   -8292.0368  0.3017 
   00024    0.4449   -8333.1106  0.3061 
   00025    0.4604   -8354.4753  0.3095 
   00026    0.4371   -8426.6769  0.3070 
   00027    0.4342   -8430.2669  0.3144 
   00028    0.4242   -8446.8814  0.3169 
   00029    0.4408   -8470.2266  0.3104 
   00030    0.4283   -8483.9088  0.3178 
   00031    0.4257   -8530.5366  0.3162 
   00032    0.4242   -8548.8424  0.3139 
   00033    0.4368   -8563.5649  0.3146 
   00034    0.4434   -8589.6360  0.3179 
   00035    0.4271   -8609.8400  0.3170 
   00036    0.4320   -8644.9883  0.3186 
   00037    0.4205   -8620.2090  0.3182 
   00038    0.4456   -8676.9269  0.3197 
   00039    0.4301   -8705.2314  0.3183 
   00040    0.4290   -8706.4755  0.3196 
   00041    0.4246   -8687.9838  0.3168 
   00042    0.4386   -8730.6208  0.3176 
   00043    0.4253   -8743.8406  0.3087 
   00044    0.4416   -8782.1496  0.3111 
   00045    0.4338   -8796.4767  0.3185 
   00046    0.4379   -8772.2456  0.3227 
   00047    0.4271   -8797.0746  0.3197 
   00048    0.4357   -8761.1768  0.3163 
   00049    0.4316   -8778.6550  0.3204 
   00050    0.4393   -8780.4231  0.3179 
   00051    0.4131   -8732.9826  0.3229 
   00052    0.4342   -8757.4679  0.3150 
   00053    0.4212   -8742.6034  0.3184 
   00054    0.4368   -8759.1597  0.3152 
   00055    0.4264   -8788.5448  0.3183 
   00056    0.4331   -8780.5965  0.3219 
   00057    0.4216   -8799.3074  0.3248 
   00058    0.4401   -8810.3779  0.3212 
   00059    0.4397   -8852.6455  0.3218 
   00060    0.4345   -8887.9438  0.3208 
   00061    0.4131   -8888.8181  0.3178 
   00062    0.4283   -8852.7061  0.3192 
   00063    0.4268   -8851.2680  0.3134 
   00064    0.4427   -8809.7939  0.3162 
   00065    0.4334   -8852.2132  0.3076 
   00066    0.4331   -8867.2237  0.3079 
   00067    0.4257   -8886.8268  0.3081 
   00068    0.4212   -8862.8476  0.3075 
   00069    0.4168   -8889.2828  0.3077 
   00070    0.4227   -8837.9241  0.3078 
   00071    0.4249   -8905.0912  0.3112 
   00072    0.4246   -8928.0884  0.3150 
   00073    0.4271   -8887.1549  0.3170 
   00074    0.4142   -8842.5824  0.3236 
   00075    0.4179   -8850.7439  0.3156 
   00076    0.4283   -8849.0324  0.3122 
   00077    0.4164   -8826.6721  0.3132 
   00078    0.4231   -8862.8619  0.3098 
   00079    0.4112   -8943.8191  0.3043 
   00080    0.4249   -8945.2695  0.3040 
   00081    0.4090   -8964.9818  0.3025 
   00082    0.4146   -8951.3967  0.3019 
   00083    0.4050   -8984.9764  0.3038 
   00084    0.4164   -8948.5415  0.3072 
   00085    0.4264   -8942.3543  0.3084 
   00086    0.4197   -8904.9296  0.3016 
   00087    0.4238   -8891.0482  0.3022 
   00088    0.4234   -8934.8344  0.3098 
   00089    0.4205   -8994.4012  0.3143 
   00090    0.4283   -8966.4398  0.3070 
   00091    0.4405   -9018.7552  0.3137 
   00092    0.4161   -8996.3287  0.3138 
   00093    0.4175   -8986.0244  0.3145 
   00094    0.4120   -9020.0364  0.3080 
   00095    0.4142   -8977.7764  0.3115 
   00096    0.4164   -8974.9327  0.3122 
   00097    0.4175   -8910.3925  0.3136 
   00098    0.4075   -8921.9563  0.3122 
   00099    0.4161   -8963.3088  0.3155 
   00100    0.4338   -8944.6071  0.3125 
   00101    0.4064   -8959.2843  0.3109 
   00102    0.4227   -8978.1538  0.3038 
   00103    0.4316   -8902.5274  0.3067 
   00104    0.4342   -8903.7880  0.3039 
   00105    0.4231   -8930.1766  0.3002 
   00106    0.4220   -8955.2573  0.3033 
   00107    0.4260   -8957.0312  0.2991 
   00108    0.4105   -8991.9495  0.3025 
   00109    0.4375   -8944.2933  0.2997 
   00110    0.4094   -8932.6411  0.3072 
   00111    0.4305   -8881.2178  0.3084 
   00112    0.4098   -8884.1390  0.3113 
   00113    0.4168   -8917.3598  0.3128 
   00114    0.4297   -8963.7376  0.3150 
   00115    0.4116   -8984.8625  0.3135 
   00116    0.4253   -8933.8028  0.3085 
   00117    0.4112   -8912.3469  0.3092 
   00118    0.4283   -8937.7758  0.3039 
