#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-09PM
# Size of lattice:     37x37
# Number of MC steps:  14
# Reduced temperature: 0.500
# Run time (s):        0.249371
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -1358.2656  0.2642 
   00001    0.6917   -2064.5453  0.2602 
   00002    0.6224   -2515.8078  0.2716 
   00003    0.5566   -2780.9996  0.2757 
   00004    0.5515   -3025.4422  0.2792 
   00005    0.5486   -3247.3204  0.2841 
   00006    0.5267   -3426.2566  0.2918 
   00007    0.5142   -3525.8949  0.2959 
   00008    0.4850   -3609.7003  0.3049 
   00009    0.4821   -3670.4715  0.3118 
   00010    0.4858   -3771.1404  0.3183 
   00011    0.4763   -3856.2804  0.3253 
   00012    0.4573   -3904.4122  0.3475 
   00013    0.4405   -3923.7826  0.3539 
   00014    0.4785   -4005.0218  0.3581 
