#=====================================================
# File created:        Thu-23-Oct-2025-at-12-13-17PM
# Size of lattice:     27x27
# Number of MC steps:  35
# Reduced temperature: 0.500
# Run time (s):        0.109984
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -678.4257  0.2586 
   00001    0.6776   -1074.8732  0.2607 
   00002    0.6433   -1314.3641  0.2762 
   00003    0.5597   -1496.9637  0.2820 
   00004    0.5336   -1572.1597  0.2973 
   00005    0.5679   -1683.2200  0.2915 
   00006    0.5377   -1752.9317  0.2958 
   00007    0.5199   -1801.6174  0.3207 
   00008    0.5130   -1881.6450  0.3433 
   00009    0.4979   -1895.0203  0.3404 
   00010    0.5185   -1954.2934  0.3439 
   00011    0.4719   -1972.7935  0.3474 
   00012    0.4993   -1992.0356  0.3447 
   00013    0.4911   -2022.5322  0.3662 
   00014    0.4925   -2046.0647  0.3782 
   00015    0.4554   -2062.5369  0.3735 
   00016    0.4417   -2096.8873  0.3798 
   00017    0.4390   -2121.0105  0.3880 
   00018    0.4417   -2123.7609  0.4024 
   00019    0.4568   -2120.3782  0.4003 
   00020    0.4636   -2154.0284  0.4075 
   00021    0.4746   -2145.2785  0.4009 
   00022    0.4595   -2163.8609  0.3905 
   00023    0.4829   -2191.6362  0.4054 
   00024    0.4568   -2197.9929  0.4161 
   00025    0.4239   -2196.3639  0.4073 
   00026    0.4829   -2228.2310  0.4117 
   00027    0.4225   -2230.7132  0.4233 
   00028    0.4307   -2216.1809  0.4119 
   00029    0.4733   -2211.4418  0.4138 
   00030    0.4499   -2218.5284  0.4136 
   00031    0.4691   -2239.7288  0.4303 
   00032    0.4280   -2234.3874  0.4302 
   00033    0.4691   -2230.3878  0.4466 
   00034    0.4458   -2254.3137  0.4445 
   00035    0.4431   -2292.6276  0.4535 
