#=====================================================
# File created:        Sat-18-Oct-2025-at-08-20-17PM
# Size of lattice:     52x52
# Number of MC steps:  22
# Reduced temperature: 0.500
# Run time (s):        0.600996
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2719.7538  0.2570 
   00001    0.6786   -3985.4180  0.2658 
   00002    0.6280   -4820.1629  0.2663 
   00003    0.5821   -5426.1902  0.2550 
   00004    0.5614   -5898.5691  0.2604 
   00005    0.5414   -6284.7271  0.2532 
   00006    0.5314   -6610.9456  0.2592 
   00007    0.5067   -6878.5607  0.2609 
   00008    0.5004   -7125.6102  0.2556 
   00009    0.4948   -7280.1298  0.2569 
   00010    0.4723   -7418.8616  0.2558 
   00011    0.4578   -7535.9936  0.2534 
   00012    0.4663   -7604.2396  0.2534 
   00013    0.4586   -7759.7428  0.2527 
   00014    0.4578   -7857.3208  0.2525 
   00015    0.4512   -7948.9581  0.2537 
   00016    0.4601   -8027.2845  0.2573 
   00017    0.4645   -8074.7056  0.2588 
   00018    0.4449   -8152.8067  0.2572 
   00019    0.4538   -8242.9661  0.2576 
   00020    0.4575   -8315.2350  0.2593 
   00021    0.4497   -8354.9551  0.2590 
   00022    0.4549   -8408.1738  0.2654 
