#=====================================================
# File created:        Sat-18-Oct-2025-at-08-20-54PM
# Size of lattice:     19x19
# Number of MC steps:  85
# Reduced temperature: 0.500
# Run time (s):        0.320570
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -387.6191  0.2777 
   00001    0.6620    -562.8193  0.2733 
   00002    0.6066    -666.2562  0.2779 
   00003    0.5679    -747.5600  0.2835 
   00004    0.5457    -823.5998  0.3018 
   00005    0.5291    -896.1687  0.3144 
   00006    0.5208    -910.0779  0.2922 
   00007    0.4903    -894.7350  0.2876 
   00008    0.4709    -902.3085  0.2957 
   00009    0.4460    -912.9323  0.3112 
   00010    0.4654    -934.3932  0.3441 
   00011    0.4598    -948.9244  0.3503 
   00012    0.4488    -977.4817  0.3705 
   00013    0.5097   -1000.1429  0.3977 
   00014    0.4958    -999.0219  0.3858 
   00015    0.4875    -991.4476  0.3719 
   00016    0.5069   -1009.8895  0.3847 
   00017    0.4654   -1024.8787  0.3933 
   00018    0.4515   -1032.0089  0.3808 
   00019    0.4238   -1049.5407  0.3689 
   00020    0.4903   -1075.0340  0.3534 
   00021    0.4765   -1087.6963  0.3581 
   00022    0.4321   -1081.9870  0.3519 
   00023    0.4377   -1085.2935  0.3591 
   00024    0.4571   -1092.6050  0.3507 
   00025    0.4848   -1107.6308  0.3501 
   00026    0.4321   -1093.7313  0.3508 
   00027    0.4072   -1082.7660  0.3606 
   00028    0.4377   -1086.4645  0.3602 
   00029    0.4986   -1088.1034  0.3541 
   00030    0.4792   -1099.0253  0.3587 
   00031    0.4349   -1104.0042  0.3775 
   00032    0.3629   -1117.8711  0.3852 
   00033    0.4515   -1116.5339  0.3989 
   00034    0.4155   -1123.9632  0.4024 
   00035    0.5069   -1115.9255  0.4045 
   00036    0.4598   -1101.9942  0.4155 
   00037    0.4266   -1117.4745  0.4157 
   00038    0.4238   -1115.9964  0.4129 
   00039    0.4543   -1119.8991  0.4275 
   00040    0.4404   -1109.3431  0.4255 
   00041    0.4155   -1111.7218  0.4269 
   00042    0.4626   -1110.3594  0.4260 
   00043    0.4820   -1126.8030  0.4264 
   00044    0.4377   -1137.9468  0.4361 
   00045    0.4183   -1143.0653  0.4102 
   00046    0.4626   -1145.3525  0.4100 
   00047    0.4349   -1147.5364  0.4125 
   00048    0.4709   -1146.3667  0.3973 
   00049    0.4488   -1137.3806  0.3867 
   00050    0.4266   -1158.9521  0.3778 
   00051    0.4349   -1138.2294  0.3743 
   00052    0.4321   -1145.9338  0.3671 
   00053    0.4543   -1129.4752  0.3678 
   00054    0.4626   -1142.4034  0.3559 
   00055    0.3989   -1153.1276  0.3721 
   00056    0.4072   -1164.6694  0.3822 
   00057    0.4238   -1163.1174  0.3871 
   00058    0.4488   -1167.7929  0.3908 
   00059    0.4432   -1166.3652  0.3915 
   00060    0.4072   -1170.1098  0.3875 
   00061    0.4737   -1176.0902  0.3900 
   00062    0.4044   -1160.2555  0.3800 
   00063    0.5069   -1161.9153  0.3702 
   00064    0.4488   -1184.8304  0.3628 
   00065    0.4072   -1169.6161  0.3661 
   00066    0.4238   -1180.6084  0.3625 
   00067    0.4349   -1182.2265  0.3576 
   00068    0.4072   -1176.4858  0.3540 
   00069    0.4626   -1184.7205  0.3695 
   00070    0.4377   -1171.2928  0.3618 
   00071    0.4155   -1168.6699  0.3558 
   00072    0.4515   -1173.1581  0.3625 
   00073    0.4127   -1169.1115  0.3587 
   00074    0.4460   -1171.7570  0.3564 
   00075    0.4266   -1183.8908  0.3536 
   00076    0.4127   -1177.7142  0.3661 
   00077    0.4349   -1168.8822  0.3668 
   00078    0.4321   -1159.3338  0.3805 
   00079    0.4044   -1164.5284  0.4045 
   00080    0.3850   -1146.2940  0.4117 
   00081    0.4155   -1139.4295  0.4185 
   00082    0.4515   -1148.4258  0.4141 
   00083    0.4294   -1156.9045  0.4140 
   00084    0.3989   -1158.6521  0.4113 
   00085    0.4349   -1155.1668  0.4107 
