#=====================================================
# File created:        Sat-18-Oct-2025-at-08-22-11PM
# Size of lattice:     72x72
# Number of MC steps:  206
# Reduced temperature: 0.500
# Run time (s):        10.549143
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5207.4313  0.2634 
   00001    0.6769   -7629.3007  0.2787 
   00002    0.6142   -9269.8283  0.2868 
   00003    0.5835  -10498.2065  0.2826 
   00004    0.5739  -11371.3213  0.2807 
   00005    0.5201  -12152.7801  0.2860 
   00006    0.5156  -12811.4799  0.2870 
   00007    0.5052  -13156.3067  0.2860 
   00008    0.5012  -13579.5689  0.2883 
   00009    0.4986  -13936.4981  0.2966 
   00010    0.4805  -14257.8638  0.2965 
   00011    0.4838  -14556.5099  0.2941 
   00012    0.4635  -14768.9239  0.2961 
   00013    0.4655  -14970.1646  0.2972 
   00014    0.4614  -15115.0547  0.3019 
   00015    0.4444  -15279.9211  0.3002 
   00016    0.4502  -15372.1150  0.3040 
   00017    0.4551  -15508.1838  0.3074 
   00018    0.4487  -15619.7856  0.3087 
   00019    0.4498  -15720.3959  0.3089 
   00020    0.4444  -15838.1518  0.3080 
   00021    0.4466  -15876.1549  0.3121 
   00022    0.4454  -15917.1173  0.3079 
   00023    0.4416  -16013.5347  0.3087 
   00024    0.4321  -16097.1598  0.3084 
   00025    0.4389  -16177.5957  0.3067 
   00026    0.4462  -16238.7791  0.3020 
   00027    0.4277  -16248.5503  0.3001 
   00028    0.4400  -16339.7402  0.3026 
   00029    0.4385  -16300.2128  0.3035 
   00030    0.4352  -16355.4587  0.3067 
   00031    0.4217  -16354.7459  0.3131 
   00032    0.4377  -16372.1191  0.3120 
   00033    0.4369  -16371.4720  0.3142 
   00034    0.4228  -16422.8374  0.3171 
   00035    0.4273  -16446.0543  0.3144 
   00036    0.4298  -16493.3242  0.3167 
   00037    0.4259  -16529.1287  0.3188 
   00038    0.4246  -16485.3855  0.3240 
   00039    0.4313  -16519.5608  0.3170 
   00040    0.4294  -16554.5053  0.3176 
   00041    0.4371  -16566.2693  0.3167 
   00042    0.4275  -16601.0221  0.3140 
   00043    0.4352  -16583.1345  0.3083 
   00044    0.4226  -16621.0729  0.3067 
   00045    0.4198  -16615.6511  0.3046 
   00046    0.4342  -16691.9953  0.3086 
   00047    0.4377  -16798.3979  0.3125 
   00048    0.4213  -16801.6832  0.3128 
   00049    0.4186  -16692.1585  0.3127 
   00050    0.4323  -16752.3307  0.3147 
   00051    0.4184  -16755.1040  0.3135 
   00052    0.4381  -16771.6328  0.3174 
   00053    0.4358  -16778.9313  0.3228 
   00054    0.4184  -16777.4907  0.3250 
   00055    0.4375  -16841.0273  0.3271 
   00056    0.4192  -16828.9101  0.3259 
   00057    0.4215  -16868.8219  0.3267 
   00058    0.4271  -16836.5289  0.3256 
   00059    0.4360  -16923.6796  0.3276 
   00060    0.4284  -16889.6413  0.3232 
   00061    0.4296  -16886.5518  0.3233 
   00062    0.4282  -16910.8658  0.3265 
   00063    0.4167  -16901.5810  0.3289 
   00064    0.4315  -16912.5670  0.3310 
   00065    0.4198  -16968.8506  0.3311 
   00066    0.4298  -16984.0716  0.3277 
   00067    0.4255  -17008.2974  0.3294 
   00068    0.4167  -16999.7193  0.3351 
   00069    0.4252  -17009.5781  0.3379 
   00070    0.4209  -16962.4570  0.3399 
   00071    0.4296  -17004.4413  0.3389 
   00072    0.4226  -16926.5967  0.3357 
   00073    0.4296  -16959.0677  0.3293 
   00074    0.4207  -16975.7399  0.3310 
   00075    0.4159  -17006.0322  0.3301 
   00076    0.4149  -17061.4870  0.3256 
   00077    0.4194  -16984.2126  0.3213 
   00078    0.4174  -17042.6261  0.3236 
   00079    0.4279  -17004.2395  0.3262 
   00080    0.4269  -16984.9576  0.3271 
   00081    0.4180  -17055.1915  0.3265 
   00082    0.4182  -17095.5272  0.3262 
   00083    0.4217  -17030.6325  0.3231 
   00084    0.4290  -17068.5136  0.3235 
   00085    0.4203  -17086.3395  0.3222 
   00086    0.4269  -17069.8313  0.3270 
   00087    0.4124  -17119.3851  0.3283 
   00088    0.4039  -17166.4010  0.3319 
   00089    0.4097  -17183.8999  0.3326 
   00090    0.4248  -17177.2094  0.3337 
   00091    0.4176  -17172.2075  0.3345 
   00092    0.4232  -17157.2136  0.3354 
   00093    0.4265  -17167.7379  0.3345 
   00094    0.4286  -17187.5054  0.3353 
   00095    0.4319  -17174.1344  0.3378 
   00096    0.4223  -17212.9191  0.3412 
   00097    0.4120  -17151.5635  0.3427 
   00098    0.4223  -17184.5484  0.3435 
   00099    0.4217  -17295.2569  0.3444 
   00100    0.4219  -17300.2443  0.3463 
   00101    0.4253  -17291.0135  0.3474 
   00102    0.4080  -17256.1525  0.3475 
   00103    0.4182  -17302.3717  0.3503 
   00104    0.4307  -17320.2075  0.3499 
   00105    0.4132  -17303.9964  0.3477 
   00106    0.4134  -17292.4413  0.3481 
   00107    0.4240  -17234.8773  0.3509 
   00108    0.4304  -17216.0680  0.3479 
   00109    0.4115  -17204.6343  0.3504 
   00110    0.4188  -17306.9255  0.3507 
   00111    0.4128  -17318.9480  0.3534 
   00112    0.4062  -17316.7015  0.3583 
   00113    0.4103  -17295.4182  0.3635 
   00114    0.4192  -17213.1966  0.3619 
   00115    0.4207  -17213.6565  0.3630 
   00116    0.4165  -17227.6089  0.3655 
