#=====================================================
# File created:        Sat-18-Oct-2025-at-06-50-52PM
# Size of lattice:     72x72
# Number of MC steps:  54
# Reduced temperature: 0.500
# Run time (s):        3.589904
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5226.8623  0.2654 
   00001    0.6894   -7764.6591  0.2698 
   00002    0.6258   -9286.0726  0.2728 
   00003    0.5872  -10583.7252  0.2742 
   00004    0.5644  -11470.2736  0.2762 
   00005    0.5268  -12162.5171  0.2799 
   00006    0.5237  -12732.9553  0.2819 
   00007    0.4915  -13258.1308  0.2808 
   00008    0.5033  -13604.6468  0.2893 
   00009    0.5023  -13908.5588  0.2943 
   00010    0.4898  -14157.6981  0.2998 
   00011    0.4886  -14419.0366  0.2988 
   00012    0.4643  -14612.3981  0.3053 
   00013    0.4691  -14850.7017  0.3082 
   00014    0.4612  -14996.5028  0.3170 
   00015    0.4657  -15206.1577  0.3175 
   00016    0.4471  -15399.6821  0.3152 
   00017    0.4543  -15543.1024  0.3165 
   00018    0.4554  -15638.8293  0.3183 
   00019    0.4363  -15741.8157  0.3146 
   00020    0.4441  -15817.9192  0.3167 
   00021    0.4452  -15913.8626  0.3144 
   00022    0.4294  -16013.1220  0.3171 
   00023    0.4307  -16101.2377  0.3214 
   00024    0.4358  -16193.1027  0.3208 
   00025    0.4356  -16189.2481  0.3196 
   00026    0.4452  -16239.5381  0.3218 
   00027    0.4443  -16322.1632  0.3237 
   00028    0.4408  -16321.8058  0.3211 
   00029    0.4402  -16359.2989  0.3220 
   00030    0.4381  -16422.9947  0.3208 
   00031    0.4284  -16463.8866  0.3220 
   00032    0.4255  -16514.7341  0.3279 
   00033    0.4230  -16550.7833  0.3258 
   00034    0.4412  -16622.8967  0.3325 
   00035    0.4205  -16670.0547  0.3316 
   00036    0.4307  -16667.4185  0.3294 
   00037    0.4157  -16677.1397  0.3270 
   00038    0.4232  -16739.3190  0.3302 
   00039    0.4217  -16750.5847  0.3279 
   00040    0.4203  -16821.7410  0.3252 
   00041    0.4273  -16849.4426  0.3210 
   00042    0.4377  -16879.8855  0.3228 
   00043    0.4128  -16894.9930  0.3222 
   00044    0.4275  -16901.8239  0.3250 
   00045    0.4244  -16978.3611  0.3284 
   00046    0.4062  -16969.3935  0.3270 
   00047    0.4246  -16975.8177  0.3255 
   00048    0.4124  -16993.2302  0.3236 
   00049    0.4284  -17019.0306  0.3272 
   00050    0.4196  -17022.6470  0.3285 
   00051    0.4331  -16998.9690  0.3309 
   00052    0.4248  -17040.6204  0.3291 
   00053    0.4182  -17023.9162  0.3288 
   00054    0.4365  -17049.4099  0.3278 
