iterations,size,temperature,order,time
85,72,0.5,0.328,1.957033
85,100,0.5,0.285,3.714643
132,1,0.5,1.000,0.019734
132,1,0.5,1.000,0.013497
132,2,0.5,0.999,0.025809
132,3,0.5,0.998,0.039027
132,4,0.5,0.981,0.052610
132,5,0.5,0.985,0.066026
132,7,0.5,0.971,0.096919
132,10,0.5,0.670,0.148398
132,14,0.5,0.699,0.231194
132,19,0.5,0.471,0.353576
132,27,0.5,0.406,0.596730
132,37,0.5,0.479,0.981136
132,52,0.5,0.418,1.728826
132,72,0.5,0.291,3.052159
132,100,0.5,0.301,5.641746
206,1,0.5,1.000,0.023027
206,1,0.5,1.000,0.020994
206,2,0.5,0.999,0.040461
206,3,0.5,0.996,0.059709
206,4,0.5,0.991,0.079432
206,5,0.5,0.988,0.103177
206,7,0.5,0.966,0.153523
206,10,0.5,0.945,0.233905
206,14,0.5,0.593,0.361235
206,19,0.5,0.586,0.548327
206,27,0.5,0.329,0.933980
206,37,0.5,0.446,1.566611
206,52,0.5,0.422,2.923086
206,72,0.5,0.337,4.732602
206,100,0.5,0.331,8.730939
321,1,0.5,1.000,0.034445
321,1,0.5,1.000,0.032623
321,2,0.5,0.999,0.061879
321,3,0.5,0.983,0.091976
321,4,0.5,0.988,0.124098
321,5,0.5,0.995,0.156577
321,7,0.5,0.973,0.231805
321,10,0.5,0.959,0.357788
321,14,0.5,0.940,0.555305
321,19,0.5,0.599,0.854566
321,27,0.5,0.761,1.446961
321,37,0.5,0.359,2.388668
321,52,0.5,0.304,4.546785
321,72,0.5,0.384,7.380427
321,100,0.5,0.314,13.531201
500,1,0.5,1.000,0.050379
500,1,0.5,1.000,0.050264
500,2,0.5,0.997,0.095003
500,3,0.5,0.998,0.141715
500,4,0.5,0.995,0.189816
500,5,0.5,0.996,0.241841
500,7,0.5,0.980,0.356983
500,10,0.5,0.955,0.552950
500,14,0.5,0.941,0.870579
500,19,0.5,0.552,1.420421
500,27,0.5,0.517,2.277307
500,37,0.5,0.601,3.718786
500,52,0.5,0.267,6.543292
500,72,0.5,0.351,11.689235
500,100,0.5,0.320,21.002808
