iterations,size,temperature,order,time
500,1,0.5,1.000,0.080804
500,1,0.5,1.000,0.055851
500,2,0.5,0.930,0.057441
500,3,0.5,0.822,0.056642
500,4,0.5,0.822,0.057609
500,5,0.5,0.889,0.063354
500,7,0.5,0.843,0.065916
500,10,0.5,0.859,0.059386
500,14,0.5,0.827,0.065039
500,19,0.5,0.827,0.090182
500,27,0.5,0.815,0.092122
500,37,0.5,0.659,0.133163
500,52,0.5,0.341,0.192543
500,72,0.5,0.373,0.345849
500,100,0.5,0.410,0.540736
1,100,0.5,0.254,0.004035
2,100,0.5,0.257,0.003608
2,100,0.5,0.253,0.004706
4,100,0.5,0.267,0.009245
6,100,0.5,0.258,0.014320
9,100,0.5,0.268,0.015417
14,100,0.5,0.256,0.024968
22,100,0.5,0.311,0.040259
35,100,0.5,0.307,0.056837
54,100,0.5,0.285,0.072836
85,100,0.5,0.377,0.107442
132,100,0.5,0.371,0.156641
206,100,0.5,0.338,0.237952
321,100,0.5,0.386,0.357423
500,100,0.5,0.504,0.541960
