iterations,size,temperature,order,time
85,72,0.5,0.272,0.072724
85,100,0.5,0.290,0.100417
132,1,0.5,1.000,0.026013
132,1,0.5,1.000,0.024493
132,2,0.5,0.843,0.028091
132,3,0.5,0.851,0.025288
132,4,0.5,0.961,0.023783
132,5,0.5,0.966,0.028792
132,7,0.5,0.919,0.024372
132,10,0.5,0.844,0.030527
132,14,0.5,0.799,0.028518
132,19,0.5,0.465,0.035986
132,27,0.5,0.811,0.043863
132,37,0.5,0.347,0.055826
132,52,0.5,0.354,0.064747
132,72,0.5,0.277,0.099170
132,100,0.5,0.339,0.148076
206,1,0.5,1.000,0.038095
206,1,0.5,1.000,0.035190
206,2,0.5,0.972,0.040708
206,3,0.5,0.759,0.038037
206,4,0.5,0.942,0.036496
206,5,0.5,0.878,0.038682
206,7,0.5,0.890,0.104484
206,10,0.5,0.852,0.041600
206,14,0.5,0.858,0.041431
206,19,0.5,0.618,0.049832
206,27,0.5,0.669,0.062587
206,37,0.5,0.436,0.069628
206,52,0.5,0.481,0.092747
206,72,0.5,0.383,0.152047
206,100,0.5,0.319,0.216635
321,1,0.5,1.000,0.050200
321,1,0.5,1.000,0.047131
321,2,0.5,0.653,0.051459
321,3,0.5,0.611,0.053078
321,4,0.5,0.864,0.042424
321,5,0.5,0.869,0.058870
321,7,0.5,0.900,0.059941
321,10,0.5,0.880,0.052015
321,14,0.5,0.854,0.058311
321,19,0.5,0.477,0.066415
321,27,0.5,0.738,0.072348
321,37,0.5,0.287,0.100944
321,52,0.5,0.368,0.136726
321,72,0.5,0.377,0.216171
321,100,0.5,0.371,0.323486
500,1,0.5,1.000,0.070874
500,1,0.5,1.000,0.070812
500,2,0.5,0.976,0.069560
500,3,0.5,0.841,0.065260
500,4,0.5,0.671,0.065725
500,5,0.5,0.816,0.076808
500,7,0.5,0.852,0.069457
500,10,0.5,0.892,0.073218
500,14,0.5,0.850,0.073427
500,19,0.5,0.815,0.087234
500,27,0.5,0.841,0.100100
500,37,0.5,0.530,0.163481
500,52,0.5,0.452,0.170979
500,72,0.5,0.468,0.324017
500,100,0.5,0.379,0.487871
