iterations,size,temperature,order,time
500,1,0.5,1.000,0.016186
500,1,0.5,1.000,0.015373
500,2,0.5,0.947,0.017697
500,3,0.5,0.912,0.019231
500,4,0.5,0.965,0.018200
500,5,0.5,0.911,0.019769
500,7,0.5,0.888,0.022595
500,10,0.5,0.833,0.028782
500,14,0.5,0.878,0.037761
500,19,0.5,0.854,0.056179
500,27,0.5,0.300,0.087181
500,37,0.5,0.652,0.152170
500,52,0.5,0.512,0.258892
500,72,0.5,0.385,0.504390
500,100,0.5,0.331,0.877029
1,100,0.5,0.251,0.002273
2,100,0.5,0.261,0.005266
2,100,0.5,0.259,0.004549
4,100,0.5,0.282,0.008971
6,100,0.5,0.273,0.013260
9,100,0.5,0.264,0.019448
14,100,0.5,0.270,0.029504
22,100,0.5,0.317,0.045047
35,100,0.5,0.260,0.068965
54,100,0.5,0.301,0.103067
85,100,0.5,0.361,0.157539
132,100,0.5,0.305,0.246518
206,100,0.5,0.449,0.367828
321,100,0.5,0.410,0.568117
500,100,0.5,0.299,0.884095
