iterations,size,temperature,order,time
500,1,0.5,1.000,0.039869
500,1,0.5,1.000,0.019165
500,2,0.5,0.921,0.019859
500,3,0.5,0.870,0.045268
500,4,0.5,0.943,0.021324
500,5,0.5,0.865,0.023172
500,7,0.5,0.898,0.025073
500,10,0.5,0.836,0.029646
500,14,0.5,0.888,0.039506
500,19,0.5,0.827,0.049519
500,27,0.5,0.800,0.071269
500,37,0.5,0.524,0.118623
500,52,0.5,0.403,0.226674
500,72,0.5,0.318,0.371635
500,100,0.5,0.378,0.589611
1,100,0.5,0.253,0.001511
2,100,0.5,0.256,0.002984
2,100,0.5,0.257,0.002966
4,100,0.5,0.263,0.005815
6,100,0.5,0.258,0.008578
9,100,0.5,0.277,0.012699
14,100,0.5,0.265,0.019202
22,100,0.5,0.284,0.029388
35,100,0.5,0.312,0.046027
54,100,0.5,0.306,0.068794
85,100,0.5,0.286,0.106389
132,100,0.5,0.332,0.161310
206,100,0.5,0.383,0.249224
321,100,0.5,0.338,0.382144
500,100,0.5,0.321,0.590719
