iterations,size,temperature,order,time
500,1,0.5,1.000,0.068612
500,1,0.5,1.000,0.071100
500,2,0.5,0.975,0.102708
500,3,0.5,0.741,0.388069
500,4,0.5,0.897,0.201364
500,5,0.5,0.681,0.140023
500,7,0.5,0.348,0.207137
500,10,0.5,0.906,0.340356
500,14,0.5,0.923,0.597686
500,19,0.5,0.654,1.032885
500,27,0.5,0.528,1.999126
500,37,0.5,0.556,3.830464
500,52,0.5,0.470,7.288388
500,72,0.5,0.411,13.896137
500,100,0.5,0.449,27.268889
1,100,0.5,0.258,0.057955
2,100,0.5,0.254,0.110093
2,100,0.5,0.257,0.111604
4,100,0.5,0.265,0.222499
6,100,0.5,0.268,0.328829
9,100,0.5,0.264,0.482780
14,100,0.5,0.263,0.742680
22,100,0.5,0.269,1.191291
35,100,0.5,0.309,2.036302
54,100,0.5,0.268,2.915626
85,100,0.5,0.363,4.730828
132,100,0.5,0.366,7.723759
206,100,0.5,0.311,11.942433
321,100,0.5,0.354,19.013365
500,100,0.5,0.372,31.346264
